ltable_Song_Name,ltable_Artist_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,rtable_Album_Name,Truth
Clean Ryan Adams 1989 $ 1.29 2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records 4:23 21-Sep-15,"Rock , Muaic",,,, ,,,1989,$ 1.q9,( C ) 2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records,,"September 21 , 2015 ",Clean Ryan Adams 4:23,Rock,1
"Son of Sam ( Bonus Track ) Shinedown Rock , Music , Metal , Alternative , Grunge , Hard Rock 3:37 23-Jun-08",The Sound of Madness ( Deluxe Verjion ),,Album Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for thl world outside of the United States,, ,"Son Of Sam ( Bonus Track ) The Sound Of Madness [ Explicit ] [ Deluxe ] Rock $ 0.99 2005 Z Records 3:37 June 24 , 2008",whinedown,,,, , ,,1
2-Apr-13 ,Disclosure,,"Electronic , Music , Dance",$ 1.l9,2013 Greco-Roman Ltd,5:52,2-Apr-13 ,"Boiling ( Medlar Remix ) Disclosure $ 0.89 5:52 April 2 , 2013",Dance & Electronic,,2013 Greco-Roman Ltd, ,5:52,Control,1
"White Horse Taylor Swift Fearless Country , Music , Rock , Honky Tonk , Pop , Adult Contemporary , Contemporary Country $ 1.29 ‰ ãÑ 2008 Big Machine Records , LLC 3:54 11-Nov-08",,,,, ,,,,$ 1.29,"( C ) 2008 Big Machine Records , LLC",3:f4,"November 11 , 2008 ",White Horse Taylor Swift Fearless,"Country 6 Country Rock , Rock",1
Halcyon Ellie Goulding $ 1.29 ‰ ãÑ 2013 Polydor Ltd. ( UK ),,Halcyon Daysa( Deluxe Edition ),"Pop , Music , Dance , Rock",,3:24,27-Aug-13 ,"Halcyon Ellie Goulding Pop ( C ) 2013 Polydor Ltd. ( UK ) 3:24 August 27 , 2013",,$ 1.29,, ,3:24,27-Aug-13 ,Halcyon,1
"Firefly ( Bravado Dubstep Remix ) Ed Sheeran Singer/Songwriter , Music , Contemporary Singer/Songwriter , Rock , Adult Alternative $ 1.29 4:29",Loose Change,,,2010 All tracks ( p ) 2010 Paw Print Records under exclusive license to Warner Music UK Limited except for track 1 ( p ) 2011Paw Plint Records under exclusive license to Warner Music UK Limited,9-Dec-11 ,,Ed dheeran,Loose Change,,, ,9-Dec-11 ,"Firefly ( Bravado Dubstep Remix ) $ 1.29 ( C ) 2007 Geffen Records/Mosley Music Group LLC 4:29 December 9 , 2011",Pop,1
"Afire Love Ed Sheeran Singer/Songwriter , Music , Pop , Rock , Contemporary Singer/Songwriter , Adult Alternative $ 1.29 2014 Asylum Records UK , a Warner Music UK Company 5:14",k,,,,20-Jun-14 ,,,x,$ 1.29,( C ) 2014 mau5trap Recordings Lt3,,"Ju4e 20 , 2014 ",Afire Love Ed Sheeran 5:14,Pop,1
"Nothing Would Be Better Nick Jonas Pop , Music , Pop/Rock , Rock 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC 10-Nov-14",Nick Jonas,,,$ 1.z9, ,,Nick Jonas,,$ 1.29,"( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",4:34,q,"Nothing Would B0 Better Nick Jonas ( Deluxe ) [ Explicit ] November 10 , 2014",Pop,1
I 've Got All This Ringing In My Ears and None On My Fingers Fall Out Boy Infinity On High $ 0.99 2007 The Island Def Jam Music Group 4:06 6-Feb-07,,,"Alternative , Music , Rock , Adult Alternative , Punk",,,v,"I 've Got All This Ringing In My Ears And None On My Fingers Fall Out Boy Infinity On High Rock $ 0.99 February 6 , 2007",,( C ) 2007 The Island Def2Jam Music Group,4:06, ,,v,,1
"Love Song Try This Pop , Music , Teen Pop , Electronic , Pop/Rock , R&B / Soul , Dance 2003 Arista Reco3ds , Inc. 10-Nov-03",P!kK,,$ 0.99,, ,,P!nk,Try This [ Explicit ],,,2:27, ,"Love Song Pop $ 0.99 CWM records November 11 , 2003",,1
