,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
144,Deranger Imperial Red Ale,406 Brewing Company,American Strong Ale,8.60 % ,Dark Horse Amber Ale,Dark Horse Brewing Company,Amber Ale,5.50 % ,0
145,Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 % ,Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,American Amber / Red Ale,7.50 % ,0
146,Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,8.00 % ,Spring House Atomic Raygun Imperial Red Ale,Spring House Brewing Company,American Strong Ale,8.30 % ,0
147,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,American Amber / Red Ale,6.10 % ,American Red Ale,Rock Art Brewery,Amber Ale,8.50 % ,0
148,MadTree Bourbon Barrel Aged Happy Amber,Wellington County Brewery,Amber Ale,9.80 % ,Red 's On Vacation,MadTree Brewing Company,Amber Ale,6 % ,0
149,Barbarian Red Ale,CervecerÃa Barbarian,American Amber / Red Ale,6.50 % ,Wildcard Double Down Imperial Red Ale,CervecerÃa Barbarian,Amber Ale,6.50 % ,0
150,Union Craft Chessie Barleywine Barrel Aged,Union Craft Brewing Company,Barley Wine,9.80 % ,Lavery Imperial Red Ale,ShuBrew,American Amber / Red Ale,6.80 % ,0
151,Olde Richmond Batch No. 9 Red Ale,Olde Richmond Beer Company,American Amber / Red Ale,5.30 % ,Engine House No. 9 Rowdy Dick Amber Ale,Short 's Brewing Company,Amber Ale,8.30 % ,0
152,Swamp Head Sciaenhops Imperial Red Ale,Swamp Head Brewery,American Amber / Red Ale,8.30 % ,Red Dragon Smoked Amber Ale,Kilted Dragon Brewing Company,American Strong Ale,5.50 % ,0
153,Lagunitas Imperial Red Ale,Lagunitas Brewing Company &#40; Heineken &#41;,American Amber / Red Ale,7.80 % ,Red 's On Vacation,Barley Johns Brew Pub,American Strong Ale,5.44 % ,0
154,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,4.70 % ,Bulleit Bourbon Barrel Aged G'Knight,Lompoc Brewing,American Amber / Red Ale,4.70 % ,0
155,Pike Unite Red Rye Ale,The Pike Brewing Company,Amber Ale,4.60 % ,5 Star Amber Ale,Pike Brewing Company,Amber Ale,- ,0
156,Barley Johns Reds on Vacation,Barley Johns Brew Pub,American Amber / Red Ale,5.44 % ,MadTree Bourbon Barrel Aged Happy Amber,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 % ,0
157,Roundabout Imperial Red Ale,Bonfire Brewing Co. .,American Amber / Red Ale,8.80 % ,Americas American Red Ale,Americas Brewpub,American Strong Ale,- ,0
158,Strada S. Felice,Grado Plato,American Amber / Red Ale,8 % ,Grado Plato Strada S. Felice,Birrificio Grado Plato,Spice/Herb/Vegetable,- ,0
159,Yalobusha Copperhead Amber Ale,Yalobusha Brewing Company,Amber Ale,5.65 % ,Railway City Iron Spike Amber Ale,Yalobusha Brewing Company,Amber Ale,5.60 % ,0
160,Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6 % ,Bulleit Bourbon Barrel Aged G'Knight,Crazy Mountain Brewing Company,Amber Ale,8.70 % ,0
161,Old Cellar Dweller,Driftwood Brewery,American Barleywine,11.60 % ,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery &#40; Canada &#41;,Barley Wine,14 % ,0
162,Swashbuckler Red Sea Amber Ale,Bowen Island Brewing Co. Ltd. .,American Amber / Red Ale,5.00 % ,Ballistic Brewing Co. - Gorgon Red Ale,Swashbuckler Brewing Company,Amber Ale,5.50 % ,0
163,Eldred Rock Amber,Haines Brewing Company,American Amber / Red Ale,5.00 % ,Haines Eldred Rock Amber,Alaskan Brewing Co. .,Amber Ale,8.50 % ,0
164,Sacramento River Otter Ale,Union Station Brewery,American Amber / Red Ale,5.10 % ,Hurricane Alley Amber Ale,Florida Beer Company,Amber Ale,- ,0
165,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,Amber Ale,8.90 % ,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain Brewing Company,American Amber / Red Ale,7.20 % ,0
166,Fresh Hop Red,Liquid Mechanics Brewing Co. .,American Amber / Red Ale,7.40 % ,Grado Plato Strada S. Felice,Ice Harbor Brewing Company,Spice/Herb/Vegetable,7 % ,0
167,Barrel Aged Imperial Red Ale,Boone Valley Brewing,American Amber / Red Ale,8.60 % ,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 % ,0
168,Ise Kadoya Amber Ale,Ise Kadoya,American Amber / Red Ale,4.50 % ,Ise Kadoya Amarillo Amber Ale,Swashbuckler Brewing Company,Amber Ale,- ,0
169,Strada S. Felice,Grado Plato,American Amber / Red Ale,8 % ,Grado Plato Strada S. Felice,Birrificio Grado Plato,Amber Ale,6 % ,0
170,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,American Amber / Red Ale,4.70 % ,All American Red Ale,Centennial Beer Co. .,Amber Ale,5.00 % ,0
171,Two Brothers Revelry Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 % ,Kern River Dirty Hippie Imperial Red Ale,Brouwerij De Koninck NV,American Strong Ale,8 % ,0
172,Barbarian Red Ale,CervecerÃa Barbarian,American Amber / Red Ale,6.50 % ,Barbarian Red Ale,Swashbuckler Brewing Company,Amber Ale,6.50 % ,0
173,Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,9.30 % ,Kinetic Infrared Imperial Red Ale,Bonfire Brewing Co. .,American Strong Ale,8.80 % ,0
174,Madhouse Venture Series Oak Aged Imperial Red,Breckenridge Brewery,American Amber / Red Ale,8.50 % ,ShuBrew Heart and Sole Imperial Red Ale,Madhouse Brewing Company,American Strong Ale,6.80 % ,0
175,Double Mongrel Imperial India Red Ale,Peter Bs Brewpub,American Amber / Red Ale,9.00 % ,Red Dragon Imperial Red Ale,Dead Frog Brewing,American Strong Ale,9.50 % ,0
176,Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 % ,Kingpin Double Red Ale,Pike Brewing Company,American Strong Ale,8.20 % ,0
177,River Otter Ale,Sacramento Brewing Company,American Amber / Red Ale,5.10 % ,Sacramento River Otter Ale,Blue Star Brewing Co. .,American Amber / Red Ale,5.50 % ,0
178,My Hoppy Valentine,Excel Brewing Company,American Amber / Red Ale,6.50 % ,Excel My Hoppy Valentine,Excel Brewing Company,American Amber / Red Ale,6.50 % ,0
179,Proof Abandoned Planet Imperial Red Ale,Otto 's Pub and Brewery,American Amber / Red Ale,6.90 % ,Iron Horse Fresh Hop Imperial Red Ale,Proof Brewing Company,Amber Ale,7.50 % ,0
180,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 % ,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,4.50 % ,0
181,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 % ,Roundabout Imperial Red Ale,Marble Brewery,American Strong Ale,5.60 % ,0
182,West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),West Sixth Brewing Company,American Amber / Red Ale,13.00 % ,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery,Barley Wine,14 % ,0
183,Ruby River Ruby Red Ale,Ruby River Steakhouse & Brewery,American Amber / Red Ale,4.00 % ,Pine Creek River Valley Red Ale,Big Rock Brewery,Amber Ale,5 % ,0
184,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Phillips Brewing Company,American Amber / Red Ale,8.20 % ,Rip Saw Red,Edge Brewing Company,American Strong Ale,8.50 % ,0
185,Barley_s Barrel Aged Ulysses Imperial Red Ale,Barley_s Brewing Company,American Amber / Red Ale,6.70 % ,21st Amendment Poor Richards Ale,Dry Dock Brewing Co. .,American Strong Ale,8.60 % ,0
186,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,American Amber / Red Ale,4.70 % ,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Sudwerk Brewing Company,Amber Ale,4.70 % ,0
187,The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 % ,Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,8.60 % ,0
188,Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6.00 % ,Central Coast Old Mission Amber Ale,Roosterfish Brewing Co. .,Amber Ale,6 % ,0
189,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Amber / Red Ale,7.50 % ,American Red Ale,Rock Art Brewery,American Strong Ale,10 % ,0
190,Red Headed Slut Amber Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,- ,Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,Amber Ale,- ,0
191,Kalamazoo Royal Amber Ale,Hops Grillhouse & Brewery,American Amber / Red Ale,- ,Eruption Imperial Red Ale,Bells Brewery,Amber Ale,9.20 % ,0
192,Red 's On Vacation,Barley John 's Brew Pub,Amber Ale,5.44 % ,Barley Johns Reds on Vacation,Barley Johns Brew Pub,American Strong Ale,7.50 % ,0
193,Ale Mania Imperial Red Ale,Ale-Mania,American Strong Ale,7.80 % ,Eldred Rock Amber,Tumbledown Brewing LLC,Amber Ale,5 % ,0
194,C N Red Imperial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 % ,Ballistic Brewing Co. - Gorgon Red Ale,Ballast Point Brewing Company,American Strong Ale,5.50 % ,0
195,American Red Ale,Rock Art Brewery,American Amber / Red Ale,4.80 % ,Americas American Red Ale,Americas Brewpub,Amber Ale,- ,0
196,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Axe Brewing Company,American Amber / Red Ale,6.80 % ,Mountain Series : Love Rhino ( Imperial Red Ale ),Big Spruce Brewing,American Amber / Red Ale,8.90 % ,0
197,Heavyweight Ticklefight Champion Of The World,Solemn Oath Brewery,American Barleywine,12.00 % ,Solemn Oath Heavyweight Ticklefight Champion of the World,Solemn Oath Brewery,American Amber / Red Ale,12 % ,0
198,Heinzelmannchen Big Amber Gnome Ale,FreeWheel Brewing Company,American Amber / Red Ale,8 % ,Fuller_s Traitor_s Gate,Heinzelmannchen Brewery,Amber Ale,4.50 % ,0
199,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing,American Amber / Red Ale,5.50 % ,Ballistic Brewing Gorgon Red Ale,Kern River Brewing,American Strong Ale,7.80 % ,0
200,Blood On The Blade Red IPA,Backpocket Brewing,American Amber / Red Ale,7.00 % ,Bacchus / Burrow Bloodhound Blood Red IPA,CervecerÃa Barbarian,India Pale Ale &#40; IPA &#41;,6 % ,0
201,Yalobusha Copperhead Amber Ale,Yalobusha Brewing Company,American Amber / Red Ale,5.65 % ,Wildcard Double Down Imperial Red Ale,Yalobusha Brewing Company,Amber Ale,8.30 % ,0
202,Poor Richard 's Ale,21st Amendment Brewery,American Amber / Red Ale,7 % ,Austin Beerworks Battle Axe Imperial Red Ale,Big Bay Brewing Co. .,Traditional Ale,9.00 % ,0
203,John Harvards Oatmeal Amber Ale,Ornery Beer Company Public House,American Amber / Red Ale,5.70 % ,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,John Harvard_s Brewhouse &#40; Corporate Office &#41;,American Strong Ale,8.50 % ,0
204,Hearthstone Red Rye Ale,Hearthstone Brewery,American Amber / Red Ale,5.00 % ,Brewmaster 's Reserve Imperial Red Ale,Hearthstone Brewery,American Amber / Red Ale,5 % ,0
205,John Barleycorn - Bourbon Barrel Aged,AleSmith Brewing Company,American Barleywine,12.50 % ,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing,Barley Wine,11 % ,0
206,Frost Quake Bourbon Barrel Aged Barley Wine,Hangar 24 Craft Brewery,Barley Wine,9.80 % ,Hangar 24 Barrel Roll No. 04 : Hammerhead - Bourbon Barrel Aged with Chai Tea,Union Station Brewery,English Pale Ale,13.90 % ,0
207,Union Craft Chessie Barleywine Barrel Aged,Union Craft Brewing Company,Barley Wine,9.80 % ,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Union Craft Brewing Company,American Strong Ale,8.20 % ,0
208,Belle Gueule Rousse,Brasseurs R.J.,American Amber / Red Ale,5.20 % ,Saint Gleason Imperial Red Ale,Brasseurs RJ,Amber Lager/Vienna,5.20 % ,0
209,Dark Horse Amber Ale,Dark Horse Brewing Company,Amber Ale,5.50 % ,West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),Dark Horse Brewing Company,American Amber / Red Ale,13.00 % ,0
210,Old Cellar Dweller,Driftwood Brewery,American Barleywine,11.60 % ,Driftwood Old Cellar Dweller Barleywine,ShuBrew,Barley Wine,8.20 % ,0
211,Copperhead Amber Ale,Yalobusha Brewing Company,American Amber / Red Ale,5.65 % ,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Yalobusha Brewing Company,Amber Ale,5.60 % ,0
212,Trail Ridge Red,Estes Park Brewery,Bitter,7.50 % ,Estes Park Trail Ridge Red,Stone Brewing Co. .,Barley Wine,4.50 % ,0
213,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.00 % ,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,American Amber / Red Ale,9.50 % ,0
214,Double Dread Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,8.60 % ,Scuttlebutt Mateo Loco Imperial Red Ale,Pints Brewing Co. .,American Amber / Red Ale,7.10 % ,0
215,Freedom Soho Red,Freedom Brewery Ltd,American Amber / Red Ale,4.70 % ,Lagunitas Imperial Red Ale,Freedom,Amber Lager/Vienna,4.70 % ,0
216,Buffalo Trace Bourbon Barrel Aged Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,American Amber / Red Ale,- ,Barrel Trolley Amber Ale,Bendorf,Irish Ale,- ,0
217,Saimaan Brewer_s Special American Red Ale,Centennial Beer Co. .,American Amber / Red Ale,5.00 % ,Spring House Atomic Raygun Imperial Red Ale,Saimaan Juomatehdas,American Amber / Red Ale,4.70 % ,0
218,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,Barley Wine,17.50 % ,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,American Strong Ale,9.00 % ,0
219,3 Sisters American Red Ale,Wild Ride Brewing Co. .,Amber Ale,6.00 % ,Big V Amber Ale,FreeWheel Brewing Company,American Amber / Red Ale,4.70 % ,0
220,Trail Ridge Red,Grand Lake Brewing Company,American Amber / Red Ale,4.50 % ,Estes Park Trail Ridge Red,Estes Park Brewery,American Amber / Red Ale,- ,0
221,Batch 200 _ `` Olympus Mons Imperial Red Ale,Due South Brewing Co. .,American Amber / Red Ale,9.50 % ,Stupiphany Imperial Red Ale,Rusty Truck Brewing Company / Roadhouse 101,American Strong Ale,8 % ,0
222,Red 's On Vacation,Barley John 's Brew Pub,American Amber / Red Ale,5.44 % ,Barley Johns Reds on Vacation,Barley Johns Brew Pub,American Strong Ale,5.44 % ,0
223,Barbarian Red Ale,CervecerÃa Barbarian,American Amber / Red Ale,6.50 % ,MadTree Bourbon Barrel Aged Happy Amber,CervecerÃa Barbarian,Amber Ale,6 % ,0
224,American Red Ale,Rock Art Brewery,American Amber / Red Ale,4.80 % ,Americas American Red Ale,Americas Brewpub,Amber Ale,5.00 % ,0
225,Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,10.00 % ,0
226,Slanted Rock Iron Butt Red Ale,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,6.00 % ,C N Red Imperial Red Ale,Slanted Rock Brewing Company,Amber Ale,5.80 % ,0
227,Blue Star Apache Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 % ,Deputation Imperial Red Ale,Blue Star Brewing Co. .,Amber Ale,- ,0
