_id,ltable_ID,rtable_ID,ltable_Name,ltable_Genre,ltable_ReleaseDate,ltable_Director,ltable_Creator,rtable_Name,rtable_Genre,rtable_ReleaseDate,rtable_Director,rtable_Creator,Truth
450,3403,3789,The Thin Red Line,"Drama,Action & Adventure","Dec 23, 1998 Wide",Terrence Malick,Terrence Malick,The Thin Red Line,"Drama,War",15 January 1999 (USA),Terrence Malick,"James Jones,Terrence Malick",1
460,1060,3133,The Last Man on Earth,"Drama,Horror,Science Fiction & Fantasy","Mar 8, 1964 Wide","Ubaldo Ragona,Sidney Salkow","Richard Matheson,William Leicester",The Man from Earth,"Drama,Sci-Fi",13 November 2007 (USA),Richard Schenkman,Jerome Bixby,0
463,5129,980,Team America: World Police,"Drama,Comedy","Oct 11, 2004 Wide","Matt Stone,Trey Parker","Trey Parker,Matt Stone,Pam Brady",Team America: World Police,"Animation,Action,Comedy",15 October 2004 (USA),Trey Parker,"Trey Parker,Matt Stone",1
475,556,3156,Mighty Joe Young,"Drama,Action & Adventure,Kids & Family","Dec 25, 1998 Wide",Ron Underwood,"Ruth Rose,Mark Rosenthal,Lawrence Konner,Holly Goldberg Sloan",Mighty Joe Young,"Action,Adventure,Family",25 December 1998 (USA),Ron Underwood,"Merian C. Cooper,Ruth Rose",1
477,4923,3927,"I Love You, Man","Drama,Comedy","Mar 20, 2009 Wide","Ivan Reitman,John Hamburg","John Hamburg,Larry Levin","New York, I Love You","Comedy,Drama,Romance",16 October 2009 (USA),"Fatih Akin,Yvan Attal","Hu Hong,Yao Meng",0
486,1505,2661,Dawn of the Dead,"Action & Adventure,Horror,Science Fiction & Fantasy","May 24, 1979 Wide",George A. Romero,George A. Romero,Shaun of the Dead,"Comedy,Horror",24 September 2004 (USA),Edgar Wright,"Simon Pegg,Edgar Wright",0
487,5671,2661,Birth Of The Living Dead,"Documentary,Special Interest","Nov 6, 2013 Limited",Rob Kuhns,,Shaun of the Dead,"Comedy,Horror",24 September 2004 (USA),Edgar Wright,"Simon Pegg,Edgar Wright",0
493,842,4776,The Tall T,"Western,Classics","Jan 1, 1957 Wide",Budd Boetticher,"Elmore Leonard,Burt Kennedy",The Tall T,"Thriller,Western",2 April 1957 (USA),Budd Boetticher,"Burt Kennedy,Elmore Leonard",1
496,1134,456,The Odd Couple,"Drama,Classics,Comedy","Jan 1, 1968 Wide",Gene Saks,Neil Simon,The Odd Couple,"Comedy,Romance",16 May 1968 (USA),Gene Saks,"Neil Simon,Neil Simon",1
501,2878,2158,Client 9: The Rise and Fall of Eliot Spitzer,"Documentary,Special Interest","Nov 5, 2010 Limited",Alex Gibney,Alex Gibney,Underworld: Rise of the Lycans,"Action,Adventure,Fantasy",23 January 2009 (USA),Patrick Tatopoulos,"Danny McBride,Dirk Blackman",0
507,365,2136,The Mummy: Tomb of the Dragon Emperor,"Drama,Action & Adventure,Comedy","Jul 24, 2008 Wide","Rob Cohen,Simon Duggan","Alfred Gough,Miles Millar",The Mummy: Tomb of the Dragon Emperor,"Action,Adventure,Fantasy",1 August 2008 (USA),Rob Cohen,"Alfred Gough,Miles Millar",1
511,4909,2654,All About Steve,Comedy,"Sep 4, 2009 Wide",Phil Traill,Kim Barker,All About Steve,"Comedy,Romance",4 September 2009 (USA),Phil Traill,Kim Barker,1
512,911,4606,Let's Make Love,"Romance,Musical & Performing Arts,Classics,Comedy","Sep 1, 1960 Wide",George Cukor,"Norman Krasna,Hal Kanter",Let's Make Love,"Comedy,Musical,Romance",8 September 1960 (USA),George Cukor,"Norman Krasna,Hal Kanter",1
514,6182,1567,A Horse Story,Kids & Family,"Jan 2, 2015 Wide",John Rogers (XVIII),John Rogers (XVIII),A Horse Story,Family,2 January 2015 (USA),John Rogers,John Rogers,1
516,1615,5178,Friday the 13th,Horror,"May 9, 1980 Wide",Sean S. Cunningham,"Victor Allan Miller,Ron Kurz",Friday the 13th,"Horror,Romance",9 May 1980 (USA),Sean S. Cunningham,"Victor Miller,Sean S. Cunningham",1
519,5985,5518,The Dark Place,Mystery & Suspense,"Jun 14, 2014 Wide",Jody Wheeler,Jody Wheeler,The Dark Place,"Mystery,Thriller",10 November 2014 (USA),Jody Wheeler,Jody Wheeler,1
522,1642,1117,Raiders of the Lost Ark,Action & Adventure,"Jun 12, 1981 Wide",Steven Spielberg,"George Lucas,Philip Kaufman,Lawrence Kasdan,Willard Huyck",Raiders of the Lost Ark,"Action,Adventure",12 June 1981 (USA),Steven Spielberg,"Lawrence Kasdan,George Lucas",1
527,5592,684,The Possession of Michael King,Mystery & Suspense,"Aug 22, 2014 Limited",David Jung,David Jung,King of the Rocket Men,"Action,Adventure,Crime",8 June 1949 (USA),Fred C. Brannon,"Royal K. Cole,William Lively",0
536,4188,5806,Beyond the Sea,"Musical & Performing Arts,Drama","Dec 29, 2004 Limited",Kevin Spacey,"Paul Attanasio,James Toback,Lorenzo Carcaterra,Kevin Spacey,Lewis Colick",Beyond the Sea,"Biography,Drama,Music",29 December 2004 (USA),Kevin Spacey,"Kevin Spacey,Lewis Colick",1
540,5432,853,Secret of the Wings,"Action & Adventure,Animation,Kids & Family","Aug 31, 2012 Wide","Bobs Gannaway,Peggy Holmes,Robert Gannaway","Tom Rogers,Ryan Rowe",The Secret of NIMH,"Animation,Adventure,Drama",2 July 1982 (USA),Don Bluth,"Robert C. O'Brien,Don Bluth",0
542,5680,853,The Secret Life of Walter Mitty,"Comedy,Kids & Family","Sep 1, 1947 Wide","Norman Z. McLeod,Norman McLeod","Everett Freeman,Ken Englund,Philip Rapp",The Secret of NIMH,"Animation,Adventure,Drama",2 July 1982 (USA),Don Bluth,"Robert C. O'Brien,Don Bluth",0
544,5574,4958,*batteries not included,"Kids & Family,Science Fiction & Fantasy,Comedy","Dec 18, 1987 Wide",Matthew Robbins,"Brent Maddock,Brad Bird,Mick Garris,S.S. Wilson,Hal Barwood",*batteries not included,"Comedy,Drama,Family",18 December 1987 (USA),Matthew Robbins,"Mick Garris,Brad Bird",1
550,1107,540,Return of the Magnificent Seven,"Western,Action & Adventure,Art House & International,Classics","Oct 19, 1966 Wide",Burt Kennedy,Larry Cohen,Sinbad: Legend of the Seven Seas,"Animation,Adventure,Comedy",2 July 2003 (USA),"Patrick Gilmore,Tim Johnson",John Logan,0
556,3210,5802,Jakob the Liar,"Drama,Comedy","Sep 24, 1999 Wide",Peter Kassovitz,"Ron Hutchinson,Peter Kassovitz,Didier Decoin",Jakob the Liar,"Comedy,Drama,War",24 September 1999 (USA),Peter Kassovitz,"Jurek Becker,Peter Kassovitz",1
557,4172,5498,Around the World in 80 Days,"Drama,Action & Adventure,Kids & Family,Comedy","Oct 17, 1956 Wide","John Farrow,Michael Anderson","John Farrow,James Poe,S.J. Perelman",The Strongest Man in the World,"Family,Comedy,Fantasy",6 February 1975 (USA),Vincent McEveety,"Joseph L. McEveety,Herman Groves",0
558,2830,5498,The Man in the Iron Mask,"Drama,Action & Adventure","Mar 13, 1998 Wide",Randall Wallace,Randall Wallace,The Strongest Man in the World,"Family,Comedy,Fantasy",6 February 1975 (USA),Vincent McEveety,"Joseph L. McEveety,Herman Groves",0
562,371,3055,For Me and My Gal,"Drama,Romance,Musical & Performing Arts,Classics","Nov 20, 1942 Wide",Busby Berkeley,"Howard Emmett Rogers,Richard Sherman,Fred F. Finklehoffe,Sid Silvers,Jack McGowan",For Me and My Gal,"Musical,Romance,War",19 August 1943 (Australia),Busby Berkeley,"Howard Emmett Rogers,Richard Sherman",1
564,5758,1101,Secret in Their Eyes,"Mystery & Suspense,Drama","Nov 20, 2015 Wide",Billy Ray,"Eduardo Sacheri,Billy Ray",Secret in Their Eyes,"Mystery,Thriller",20 November 2015 (USA),Billy Ray,"Billy Ray,Juan José Campanella",1
567,4523,5234,Rising Son: The Legend of Skateboarder Christian Hosoi,"Documentary,Sports & Fitness,Special Interest","Apr 7, 2006 Wide","Cesario Montaño,Cesario 'Block' Montano",Peter Alton,The Son of the Sheik,"Adventure,Drama",5 September 1926 (USA),George Fitzmaurice,"Edith Maude Hull,Frances Marion",0
568,296,4268,Tower of London,"Drama,Horror","Nov 17, 1939 Wide",Rowland V. Lee,Robert N. Lee,Tower of London,"Drama,History",17 November 1939 (USA),Rowland V. Lee,Robert N. Lee,1
575,3773,2095,Auf der Anderen Seite (The Edge of Heaven) (On the Other Side),Drama,"May 23, 2007 Wide",Fatih Akin,"Fatih Akin,Faith Akin",Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",20 May 2011 (USA),Rob Marshall,"Ted Elliott,Terry Rossio",0
578,464,5639,The Woman in Black 2 Angel of Death,"Mystery & Suspense,Horror","Jan 2, 2015 Wide",Tom Harper,Jon Croker,White Fang 2: Myth of the White Wolf,"Adventure,Family",15 April 1994 (USA),Ken Olin,David Fallon,0
579,5665,5639,The Naked Gun 2 1/2: The Smell of Fear,Comedy,"Jun 28, 1991 Wide",David Zucker,"Jerry Zucker,David Zucker,Pat Proft,Jim Abrahams",White Fang 2: Myth of the White Wolf,"Adventure,Family",15 April 1994 (USA),Ken Olin,David Fallon,0
581,2172,5639,The Wolf of Wall Street,Drama,"Dec 25, 2013 Wide",Martin Scorsese,"Jordan Belfort,Terence Winter",White Fang 2: Myth of the White Wolf,"Adventure,Family",15 April 1994 (USA),Ken Olin,David Fallon,0
592,5144,5762,Never Let Me Go,"Drama,Mystery & Suspense,Science Fiction & Fantasy","Sep 15, 2010 Limited",Mark Romanek,"Kazuo Ishiguro,Alex Garland",Never Let Me Go,"Drama,Romance,Sci-Fi",15 October 2010 (USA),Mark Romanek,"Kazuo Ishiguro,Alex Garland",1
604,3949,5257,Wallace & Gromit: The Curse of the Were-Rabbit,"Action & Adventure,Animation,Kids & Family,Comedy","Oct 7, 2005 Wide","Helena Bonham Carter,John Thomson,Peter Kay,Peter Sallis,Ralph Fiennes,Steve Box,Nick Park","Bob Barker,Bob Baker,Steve Box,Mark Burton,Nick Park",Halloween: The Curse of Michael Myers,"Horror,Thriller",29 September 1995 (USA),Joe Chappelle,"Debra Hill,John Carpenter",0
609,1478,4313,Gates of Heaven,"Documentary,Special Interest","Oct 19, 1980 Wide",Errol Morris,,Gates of Heaven,Documentary,October 1978 (USA),Errol Morris,,1
619,1346,6720,Hearts and Minds,Documentary,"Oct 22, 2004 Limited","Peter Davis (II),Peter Davis",Peter Davis,Hearts and Minds,"Documentary,War",17 November 1975 (Sweden),Peter Davis,,0
621,256,1705,The Adventures of Tom Sawyer,"Action & Adventure,Kids & Family,Special Interest","Feb 17, 1938 Wide","George Cukor,H.C. Potter,William Wellman,Norman Taurog","Mark Twain,John V.A. Weaver",Pirate's Code: The Adventures of Mickey Matson,Family,16 October 2014 (USA),Harold Cronk,"Harold Cronk,Eric Machiela",0
622,288,1705,The Adventures Of Huckleberry Finn,"Action & Adventure,Kids & Family","Jun 1, 1939 Wide",Richard Thorpe,Hugo Butler,Pirate's Code: The Adventures of Mickey Matson,Family,16 October 2014 (USA),Harold Cronk,"Harold Cronk,Eric Machiela",0
625,536,1705,Pirates of the Caribbean: The Curse of the Black Pearl,"Action & Adventure,Science Fiction & Fantasy","Jun 28, 2003 Wide",Gore Verbinski,"Ted Elliott,Terry Rossio",Pirate's Code: The Adventures of Mickey Matson,Family,16 October 2014 (USA),Harold Cronk,"Harold Cronk,Eric Machiela",0
628,3664,1705,The Adventures of Rocky & Bullwinkle,"Kids & Family,Science Fiction & Fantasy,Comedy","Jun 30, 2000 Wide",Des McAnuff,"Ken Lonergan,Kenneth Lonergan",Pirate's Code: The Adventures of Mickey Matson,Family,16 October 2014 (USA),Harold Cronk,"Harold Cronk,Eric Machiela",0
631,1150,5977,Night of the Living Dead,"Horror,Classics,Cult Movies","Oct 1, 1968 Wide",George A. Romero,"John Russo,George A. Romero,John A. Russo",Night of the Living Dead,"Horror,Thriller",19 October 1990 (USA),Tom Savini,"John A. Russo,George A. Romero",0
634,5671,5977,Birth Of The Living Dead,"Documentary,Special Interest","Nov 6, 2013 Limited",Rob Kuhns,,Night of the Living Dead,"Horror,Thriller",19 October 1990 (USA),Tom Savini,"John A. Russo,George A. Romero",0
635,1973,5977,Day of the Dead,"Mystery & Suspense,Horror","Apr 1, 2008 Wide",Steve Miner,Jeffrey Reddick,Night of the Living Dead,"Horror,Thriller",19 October 1990 (USA),Tom Savini,"John A. Russo,George A. Romero",0
641,3755,5977,How to Beat the High Cost of Living,Comedy,"Dec 31, 1980 Wide",Robert Scheerer,,Night of the Living Dead,"Horror,Thriller",19 October 1990 (USA),Tom Savini,"John A. Russo,George A. Romero",0
642,4434,4294,Tenacious D in The Pick of Destiny,"Musical & Performing Arts,Comedy","Nov 22, 2006 Wide",Liam Lynch,"Jack Black,Kyle Gass,Liam Lynch",Love in the Time of Money,"Comedy,Drama,Romance",11 January 2002 (USA),Peter Mattei,Peter Mattei,0
644,1457,4294,For the Love of Benji,"Action & Adventure,Kids & Family","Jan 1, 1977 Wide",Joe Camp,Joe Camp,Love in the Time of Money,"Comedy,Drama,Romance",11 January 2002 (USA),Peter Mattei,Peter Mattei,0
645,1766,4294,Beastmaster 2: Through the Portal of Time,"Action & Adventure,Science Fiction & Fantasy","Aug 30, 1991 Wide",Sylvio Tabet,"R.J. Robertson,Sylvio Tabet,Jim Wynorski",Love in the Time of Money,"Comedy,Drama,Romance",11 January 2002 (USA),Peter Mattei,Peter Mattei,0
648,2733,4294,In the Name of the Father,Drama,"Dec 29, 1993 Wide",Jim Sheridan,"Terry George,Jim Sheridan",Love in the Time of Money,"Comedy,Drama,Romance",11 January 2002 (USA),Peter Mattei,Peter Mattei,0
652,5584,6687,The Waiting Room,"Documentary,Sports & Fitness,Special Interest","Sep 26, 2012 Limited",Peter Nicks,,The Waiting Room,Documentary,29 April 2014 (Netherlands),Peter Nicks,,1
657,5509,4334,This is 40,Comedy,"Dec 21, 2012 Wide",Judd Apatow,Judd Apatow,This Is 40,Comedy,21 December 2012 (USA),Judd Apatow,"Judd Apatow,Judd Apatow",1
658,2358,1308,Sea of Love,"Mystery & Suspense,Drama","Jan 1, 1989 Wide",Harold Becker,Richard Price,Sea of Love,"Crime,Drama,Mystery",15 September 1989 (USA),Harold Becker,Richard Price,1
662,4801,6391,Disaster in Time,"Drama,Mystery & Suspense,Science Fiction & Fantasy","May 9, 1992 Wide",David Twohy,David N. Twohy,Grand Tour: Disaster in Time,"Mystery,Sci-Fi",9 May 1992 (USA),David Twohy,"Henry Kuttner,C.L. Moore",1
664,4690,913,Iron Man 3,"Action & Adventure,Science Fiction & Fantasy","May 3, 2013 Wide",Shane Black,"Drew Pearce,Shane Black",Iron Man 3,"Action,Adventure,Sci-Fi",3 May 2013 (USA),Shane Black,"Drew Pearce,Shane Black",1
665,2445,6941,The Fly II,"Horror,Mystery & Suspense,Science Fiction & Fantasy","Feb 10, 1989 Wide",Chris Walas,"Mick Garris,Frank Darabont,Jim Wheat,Ken Wheat",The Fly II,"Horror,Sci-Fi",10 February 1989 (USA),Chris Walas,"Mick Garris,Jim Wheat",1
676,4774,3710,The Yellow Handkerchief,"Drama,Romance","Feb 26, 2010 Wide",Udayan Prasad,Erin Dignam,The Yellow Handkerchief,"Drama,Romance",19 November 2009 (Germany),Udayan Prasad,"Pete Hamill,Erin Dignam",1
681,1013,2769,The Pink Panther,"Romance,Mystery & Suspense,Comedy","Mar 20, 1963 Wide",Blake Edwards,"Blake Edwards,Maurice Richlin",The Pink Panther,"Comedy,Crime",20 March 1964 (USA),Blake Edwards,"Maurice Richlin,Blake Edwards",1
683,1191,1859,The Dunwich Horror,"Mystery & Suspense,Horror","Jan 14, 1970 Wide",Daniel Haller,"Curtis Hanson,Henry Rosenbaum,Ronald Silkosky",The Dunwich Horror,Horror,14 January 1970 (USA),Daniel Haller,"Curtis Hanson,Henry Rosenbaum",1
685,5596,7013,Somebody Up There Likes Me,Comedy,"Mar 8, 2013 Limited",Bob Byington,Bob Byington,Somebody Up There Likes Me,Comedy,8 March 2013 (USA),Bob Byington,Bob Byington,1
696,2290,1637,Above the Law,"Mystery & Suspense,Action & Adventure","Jan 1, 1988 Wide","Mickey Gilbert (II),Andrew Davis","Steven Pressfield,Ronald Shusett,Andrew Davis,Steven Seagal,John Eskow",Above the Law,"Action,Crime,Drama",22 April 1988 (USA),Andrew Davis,"Andrew Davis,Steven Seagal",1
708,773,1691,The Secret Life of Pets,Animation,"Jul 8, 2016 Wide","Chris Renaud,Yarrow Cheney","Ken Daurio,Cinco Paul",Secret of the Wings,"Animation,Family,Fantasy",16 August 2012 (Ukraine),"Roberts Gannaway,Peggy Holmes","Roberts Gannaway,Peggy Holmes",0
711,4376,1691,Night at the Museum: Secret of the Tomb,"Action & Adventure,Comedy","Dec 19, 2014 Wide",Shawn Levy,"Michael Handelman,David Guion",Secret of the Wings,"Animation,Family,Fantasy",16 August 2012 (Ukraine),"Roberts Gannaway,Peggy Holmes","Roberts Gannaway,Peggy Holmes",0
715,1048,850,Santa Claus Conquers the Martians,"Kids & Family,Classics,Science Fiction & Fantasy,Comedy","Jan 1, 1964 Limited",Nicholas Webster,"Glenville Mareth,Paul L. Jacobson",Santa Claus Conquers the Martians,"Comedy,Family,Sci-Fi",14 November 1964 (USA),Nicholas Webster,"Glenville Mareth,Paul L. Jacobson",1
721,5352,5818,The Tree of Life,"Documentary,Drama,Special Interest","Feb 11, 2008 Wide",Hava Volterra,"Hava Volterra,David N. Donihue",The Tree of Life,"Drama,Fantasy",17 May 2011 (France),Terrence Malick,Terrence Malick,0
723,5680,5818,The Secret Life of Walter Mitty,"Comedy,Kids & Family","Sep 1, 1947 Wide","Norman Z. McLeod,Norman McLeod","Everett Freeman,Ken Englund,Philip Rapp",The Tree of Life,"Drama,Fantasy",17 May 2011 (France),Terrence Malick,Terrence Malick,0
728,4109,1469,AVP - Alien Vs. Predator,"Action & Adventure,Horror,Mystery & Suspense,Science Fiction & Fantasy","Aug 13, 2004 Wide","Paul Anderson,Agathe De La Boulaye,Carsten Norgaard,Colin Salmon,Ewen Bremner,Joseph Rye,Lance Henriksen,Raoul Bova,Sam Troughton,Sanaa Lathan,Tommy Flanagan,Paul W.S. Anderson","Paul Anderson,Paul W.S. Anderson",AVP: Alien vs. Predator,"Action,Adventure,Sci-Fi",13 August 2004 (USA),Paul W.S. Anderson,"Dan O'Bannon,Ronald Shusett",1
747,2624,1527,D2: The Mighty Ducks,"Comedy,Kids & Family","Mar 25, 1994 Wide",Sam Weisman,Steven Brill,The Mighty Ducks,"Comedy,Drama,Family",2 October 1992 (USA),Stephen Herek,Steven Brill,0
748,5686,3874,Under the Skin,"Documentary,Drama,Art House & International","Jan 1, 1997 Wide","Billy Burke,Carine Adler",Carine Adler,Under the Skin,"Drama,Sci-Fi,Thriller",14 March 2014 (UK),Jonathan Glazer,"Walter Campbell,Jonathan Glazer",0
758,1436,4031,Star Wars: Episode III - Revenge of the Sith 3D,"Action & Adventure,Science Fiction & Fantasy","May 19, 2005 Wide",George Lucas,George Lucas,Return of the Living Dead III,"Horror,Romance",25 February 1994 (Brazil),Brian Yuzna,John Penney,0
780,4151,1255,The Chronicles of Riddick,"Action & Adventure,Horror,Science Fiction & Fantasy","Jun 11, 2004 Wide","Alexa Davalos,Colm Feore,Judi Dench,Karl Urban,Linus Roach,Linus Roache,Nick Chinlund,Thandie Newton,Vin Diesel,David Twohy,David N. Twohy","David Twohy,David N. Twohy",The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure,Family,Fantasy",10 December 2010 (USA),Michael Apted,"Christopher Markus,Stephen McFeely",0
784,5977,309,A Million Ways to Die in the West,"Western,Comedy","May 30, 2014 Wide",Seth MacFarlane,"Seth MacFarlane,Alec Sulkin,Wellesley Wild",A Good Day to Die Hard,"Action,Crime,Thriller",14 February 2013 (USA),John Moore,"Skip Woods,Roderick Thorp",0
796,2608,6952,Children of the Night,Horror,"Sep 6, 1991 Wide",Tony Randel,"Nicolas Falacci,William Hopkins,Tom Holliday,Tony Randel,Christopher Webster",Children of the Corn,Horror,9 March 1984 (USA),Fritz Kiersch,"Stephen King,George Goldsmith",0
806,3887,3284,The Singles 2nd Ward,Romance,"Dec 11, 2007 Wide",Kurt Hale,"Kurt Hale,John E. Moyer",The Singles Ward,"Comedy,Drama,Romance",30 January 2002 (USA),Kurt Hale,"Kurt Hale,John E. Moyer",0
811,5977,5336,A Million Ways to Die in the West,"Western,Comedy","May 30, 2014 Wide",Seth MacFarlane,"Seth MacFarlane,Alec Sulkin,Wellesley Wild",A Million Ways to Die in the West,"Comedy,Western",30 May 2014 (USA),Seth MacFarlane,"Seth MacFarlane,Alec Sulkin",1
813,2266,5336,A Good Day To Die Hard,Action & Adventure,"Feb 14, 2013 Wide",John Moore,"Roderick Thorp,Skip Woods",A Million Ways to Die in the West,"Comedy,Western",30 May 2014 (USA),Seth MacFarlane,"Seth MacFarlane,Alec Sulkin",0
815,3531,5336,A Walk In The Woods,"Drama,Action & Adventure,Comedy","Sep 2, 2015 Wide",Ken Kwapis,William Holderman,A Million Ways to Die in the West,"Comedy,Western",30 May 2014 (USA),Seth MacFarlane,"Seth MacFarlane,Alec Sulkin",0
822,431,6571,The Woman in the Window,"Mystery & Suspense,Classics","Nov 3, 1944 Wide",Fritz Lang,Nunnally Johnson,The Woman in Black 2: Angel of Death,"Drama,Horror,Thriller",2 January 2015 (USA),Tom Harper,"Jon Croker,Jon Croker",0
824,445,6571,Sherlock Holmes and the Woman in Green,"Drama,Horror,Mystery & Suspense","Jul 27, 1945 Wide",Roy William Neill,Bertram Millhauser,The Woman in Black 2: Angel of Death,"Drama,Horror,Thriller",2 January 2015 (USA),Tom Harper,"Jon Croker,Jon Croker",0
828,1497,6571,I Spit on Your Grave (Day of the Woman),"Drama,Horror,Art House & International,Mystery & Suspense","Nov 3, 1978 Wide",Meir Zarchi,Meir Zarchi,The Woman in Black 2: Angel of Death,"Drama,Horror,Thriller",2 January 2015 (USA),Tom Harper,"Jon Croker,Jon Croker",0
830,1766,6571,Beastmaster 2: Through the Portal of Time,"Action & Adventure,Science Fiction & Fantasy","Aug 30, 1991 Wide",Sylvio Tabet,"R.J. Robertson,Sylvio Tabet,Jim Wynorski",The Woman in Black 2: Angel of Death,"Drama,Horror,Thriller",2 January 2015 (USA),Tom Harper,"Jon Croker,Jon Croker",0
832,6200,6571,In the Heart of the Sea,Drama,"Dec 11, 2015 Wide",Ron Howard,"Rick Jaffa,Charles Leavitt,Peter Morgan",The Woman in Black 2: Angel of Death,"Drama,Horror,Thriller",2 January 2015 (USA),Tom Harper,"Jon Croker,Jon Croker",0
837,3186,3844,Son of Flubber,"Kids & Family,Classics,Science Fiction & Fantasy,Comedy","Jan 16, 1963 Wide",Robert Stevenson,"Bill Walsh,Don DaGradi",Son of Flubber,"Comedy,Sci-Fi,Family",16 January 1963 (USA),Robert Stevenson,"Bill Walsh,Don DaGradi",1
843,1897,183,Revenge of the Nerds II: Nerds in Paradise,Comedy,"Jul 10, 1987 Wide",Joe Roth,"Dan Guntzelman,Steve Marshall,Ed Solomon,Tim Metcalfe,Sam Harper",The Incredibly True Adventure of Two Girls in Love,"Comedy,Drama,Romance",16 June 1995 (USA),Maria Maggenti,Maria Maggenti,0
856,5976,5459,One Magic Christmas,"Drama,Kids & Family,Art House & International,Science Fiction & Fantasy","Nov 22, 1985 Wide",Phillip Borsos,"Thomas Meehan,Phillip Borsos",One Magic Christmas,"Family,Fantasy",22 November 1985 (USA),Phillip Borsos,"Thomas Meehan,Phillip Borsos",1
862,2878,1060,Client 9: The Rise and Fall of Eliot Spitzer,"Documentary,Special Interest","Nov 5, 2010 Limited",Alex Gibney,Alex Gibney,Sky Captain and the World of Tomorrow,"Action,Adventure,Mystery",17 September 2004 (USA),Kerry Conran,Kerry Conran,0
867,537,5855,Pirates of the Caribbean: At Worlds End,"Action & Adventure,Science Fiction & Fantasy","May 25, 2007 Wide",Gore Verbinski,"Ted Elliott,Terry Rossio",Seeking a Friend for the End of the World,"Adventure,Comedy,Drama",22 June 2012 (USA),Lorene Scafaria,Lorene Scafaria,0
870,5658,5855,The End Of The Tour,Drama,"Jul 31, 2015 Limited",James Ponsoldt,Donald Margulies,Seeking a Friend for the End of the World,"Adventure,Comedy,Drama",22 June 2012 (USA),Lorene Scafaria,Lorene Scafaria,0
874,2224,5506,Empire of the Sun,Drama,"Dec 9, 1987 Wide",Steven Spielberg,"Tom Stoppard,Menno Meyjes",Empire of the Sun,"Drama,History,War",25 December 1987 (USA),Steven Spielberg,"J.G. Ballard,Tom Stoppard",1
875,5913,2838,Let's Be Cops,"Action & Adventure,Comedy","Aug 13, 2014 Wide",Luke Greenfield,"Luke Greenfield,Thomas Ian Nicholas,Nicholas Thomas",Let's Be Cops,Comedy,13 August 2014 (USA),Luke Greenfield,"Luke Greenfield,Nicholas Thomas",1
878,940,5006,The Time Machine,"Action & Adventure,Classics,Science Fiction & Fantasy","Aug 17, 1960 Wide",George Pal,David Duncan,The Time Machine,"Adventure,Fantasy,Romance",17 August 1960 (USA),George Pal,"David Duncan,H.G. Wells",1
879,3818,6272,My Bloody Valentine 3-D,"Mystery & Suspense,Horror","Jan 16, 2009 Wide",Patrick Lussier,"Todd Farmer,Zane Smith",My Bloody Valentine,Horror,16 January 2009 (USA),Patrick Lussier,"Todd Farmer,Zane Smith",1
885,570,5463,The Story of Seabiscuit,"Drama,Kids & Family,Romance,Classics","Nov 12, 1949 Wide","David Butler (I),David Butler,David Butler",John Taintor Foote,The Story of Us,"Comedy,Drama,Romance",15 October 1999 (USA),Rob Reiner,"Alan Zweibel,Jessie Nelson",0
887,4306,5449,The Ring Two,"Drama,Horror","Mar 18, 2005 Wide",Hideo Nakata,"Ehren Kruger,Hiroshi Takahashi",The Ring Two,"Horror,Mystery,Thriller",18 March 2005 (USA),Hideo Nakata,"Ehren Kruger,Kôji Suzuki",1
890,3531,6258,A Walk In The Woods,"Drama,Action & Adventure,Comedy","Sep 2, 2015 Wide",Ken Kwapis,William Holderman,Don't Go in the Woods,Horror,September 1981 (USA),James Bryan,Garth Eliassen,0
894,293,1343,The Adventures of Huckleberry Finn,"Drama,Action & Adventure,Kids & Family,Classics,Comedy","Aug 3, 1960 Wide",Michael Curtiz,"Mark Twain,James Lee",The Adventures of Ichabod and Mr. Toad,"Animation,Family,Fantasy",December 1949 (UK),"James Algar,Clyde Geronimi","Washington Irving,Kenneth Grahame",0
898,3162,1343,The Adventures of Pinocchio,"Science Fiction & Fantasy,Kids & Family","Jul 26, 1996 Wide","Steven Barron,Steve Barron","Sherry Mills,Tom Benedek,Barry Berman,Steve Barron",The Adventures of Ichabod and Mr. Toad,"Animation,Family,Fantasy",December 1949 (UK),"James Algar,Clyde Geronimi","Washington Irving,Kenneth Grahame",0
902,3040,538,Confessions of a Dangerous Mind,"Drama,Mystery & Suspense,Comedy","Aug 15, 2003 Limited",George Clooney,"Chuck Barris,Charlie Kaufman",Confessions of a Dangerous Mind,"Biography,Comedy,Crime",24 January 2003 (USA),George Clooney,"Chuck Barris,Charlie Kaufman",1
908,5554,5457,The Millionaire Tour,"Mystery & Suspense,Action & Adventure","Jan 1, 2012 Wide",Inon Shampanier,,The Millionaire Tour,"Action,Thriller",18 December 2012 (USA),Inon Shampanier,"Inon Shampanier,Natalie Shampanier",1
909,3376,1683,The Rugrats Movie,"Television,Animation,Kids & Family","Nov 20, 1998 Wide","Norton Virgien,Igor Kovalyov","David Weiss,David N. Weiss,J. David Stern,J. David Stem",The Rugrats Movie,"Animation,Adventure,Comedy",20 November 1998 (USA),"Igor Kovalyov,Norton Virgien","David N. Weiss,J. David Stem",1
