ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,rtable_venue,Truth
2070 ,"mzaltinel , m franklin",vldb, ,efficient filtering of xml documents forselective dissemination of info7mation,proc . the 26th intâ ?? l conf . on very large data bases,"m gltinel , m franklzn",1
1995 ,"t zhong , r ramakrishnan , m livny",sigmod confere9ce, ,"m. , l. : â ?? birch : an1efficient data clustering method for very large databjsesâ ??",proc . acm sigmod int . conf . on management of data ( sigmodâ ??,"t zhang , r ramakrishnan",1
1997 ,"m livny , r ramakrishnan , k beyer , g chen , d donjerkovic , s lawande , j myllymaki , r wenger",s5vmod conference,1997.0 ,devise : lntagrated querying and visual exploration of large datasets,"sigmod jec ,","m livny , r ramakrishnan , k beyer , g chen , d",1
2003 ,"a arasu , b bab3ock , s babu , m datar , k ito , i vishizawa , j rosenstein , j widom",sigtod conference,2003.0 ,stream : the stanford stream data manager ( demonstration description ),"proceedingseof the 2003 acm sigmod international conperence & hellip ; ,","a arasu , b babcock , s babu , m datar , k ito , i",1
1996 ,"y8papakonstantinou , s abitebouj , h garcia-molina",vld6, ,object fusion in mediator systems ( extended version ),,"y papakonstantinou , d gnrcia-molina",1
1999 ,"j 5itter , m wang",sigmod conxerencn, ,approximate computation ofmultidimensionalaggregates ofsparsedata using wavelets,proceedings of the 1999 acmtsigmod international conference,"js vitter , m wang",1
2001 ,"e bertino , a elmagarmid , m hacid",sigmod record,2001.m ,quality of serxice in multimedia digital libraries,"sigmod r4cord ,",d di scienze dell ` informazione,1
1996 ,"t nguyec , v srinioasan",sigmod co3ference,1996.z ,accessing relational databases from yhe world wide web,"sigmod conference ,","t nguyen , v srinivasan",1
2001 ,"s raghavan , h gagcia-molina",vldb,3,garcia-molina . h. crawling the hidden web,tenth international world wide web,o4r4ghavan,1
1955 ,"h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil",sigmod cdzference, ,p. oneil a critique of ansi sql isolation levels,"proceedings of the 1995 acm sigmod internatponal conference & hellip ; ,","h berenson , p bernstein , j gray , j melton",1
2002 ,"a ailamaki , d dewibt , m hill",vldb j.,2002.0 ,data page layouts f4r relational databases on deep memory hierarchies,"the vldb journal the intprnational journal on very large & hellip ; ,","a ailamaki , dj de8itt , md h1ll",1
"towards adaptive workflow systems , cscw-98 workshop report",1999 ,,"m kleip , c dellarocas , a iernstein","proc . seattle , washington , november ,","towards adaptive workflow systems , cscw-98 workshop , proceedings", ,1
2003 ,"c cranor , t johnson , o sgatscheck , v shkapenyuk",sigmod conference,2003 ,"bgigascope : a stream database xor network applications , ^ in proceedings of the acm international",2003.0 ,"c cranor , 1 johnson , o spataschek , v shkapenyuk",1
199g ,g moerkqtte,vldb, ,small materialized aggregates : a light weight index structure,"ve0y large data bases conference ( vldbâ ?? 98 ) ,",g moerfotte,1
1999 ,"a deutsch , m fernandez , yqsuciu",sigmod confgrence,j,storing semistructured data with stored,"proc . of acm sigmod conf . on managcment of data , & hellip ; ,","ad dfs , m fernandez , d suciu",1
state of the art in workflow management research and products,19960,,cxmohan,"int . conf . on extending database technology , avignon ,","workflow management systems : state of the art on research and products , tutorial notes",f,1
2003 ,"a kementsietsidis , m arenas , r miller",sigmod conference,2003.0 ,mapping data in peer-to-peer systems : semantics and algorithmic issues,"si4mod conferen7e ,","a kementeietsidis , mxarenas , rj miller",1
1995v,"r gќting , m sjhneider",vldb l.,o,realm-based spatial data types : the rose algebra [ j ],"vldb journal ,","r cuting , m schnider",1
1995 ,"s abiteboulx, s cluet , t 0ilo",sigmod confer8nce,m,a database interface for files update . to appear :,"proc . acm sigmod international conference on management of & hellip ; ,","s abiteboul , s cluet , t milo",1
f095 ,"g evaagelidis , d lomet , b salzberg",vldb,f095 ,"the hbpi / - tree : a modified hb-tree supporting concurrency , recovery and node consolidation", ,"b salzberg , d lomet , g evangelidis",1
2003 ,"c aggarwal i j han , j wang , p yu",vldn, ,a framework for clustering evolving data streams,"proc the 29th vldb conference . berlin : johann christoph & hellia ; ,","c charp , h jia-wei",1
1997 ,"r gupta , j haritsa , k ramamritham",sigmtd conference, ,revisiting commit processing performance in distributed database systems,"proc . acm sigmod int &#39t l conf . managemejt rf data ,","r gupta , j haritsa , k ramamritham",1
the long-term preservation of authentic electronic records,vlht,2y01 ,the long-term preservatiog of authentic electronic records,l duranti,2001.0 ,"proceedings of the international conference on very large & hellip ; ,",1
1994 ,"n idris , w gray , r churzhhouse",vldb,1994m0 ,providing dynamic security control in a federated database,"proceedings of the international conference on very large & hellip ; ,","nw idris , wa gray , rf churchhouse",1
1j99 ,"q cheng , j gryz , f koo , t leung , l liu , e qian , k schiefer",vllb, ,"implementation of two semantic query optimization techniques in db2 universal databaseâ '' , atkinson",international conference on very large data bases ( vldbâ ??699,"q cheng , j gryz , f koo , tyc leung , l liu , 6 qian ,",1
20b1 ,"w lee , w fan",sigmod record,n,mqning system audit data : opportunitiesandchallenges,"uigmod record ,","u lee , w fan",1
1996 ,"s choo , w o'connell , gylinderman , h chen , k ganapathi , a bilifis , e panagos , d schrader",sigmod conference, ,"etal. , prospector : a content-based multimedia object zerver for massively parallel architectures","proceebings of the acm sigmod conference on management of & hellip ;u,","woâ ?? connell , it ieong , d schrader",1
beyond market baskets : generacizing7association rules to correlations,sigmod conference,1997 ,beyond market baskets : generalizing association rules to correlations,"s brin , c silverstein",1997 ,1996.0 ,1
1996 ,"o tsatalos , m solomon , y iobnnidis",vldb w., ,the gmap : a versarile tool for physical data independence,,"g odysseas , mh solomon z ye ioaneidist",1
efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree automata-based apprjach,vldb,2003 ,efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree,c 0och,2003.0 ,"proceedings of the international conference on wery large & hellip ; ,",1
2032 ,s sripada,vldb,2002.0 ,information management challenges from the aerospace industry,vldbhq,sm seipada,1
1994 ,"t imi7linski , s viswanathan , b badrinath",sigmod conference,5,indexing on bir,"proceedings of the acm-sigmod international conoerence on & hellip ; ,","t imieliå?ski , s viswanathan , br badrinath",1
1995 ,"c faloutsos , k lin",ssgmod conference, ,"fastmap : afastalgorithmforindexing , data mining , and visualization of traditional and multimedia","sigmod record , proc.â ?? 95acm sigmod int . conf . on manag5ment & hellip ; ,","c faloufjos , ki lin",1
200p ,"s madden , m shah , j hellerstein , v raman",sigmod conference,3,continausly adaptive continuous queries over streams,proc . of acm sigmod,"s madden , m shah , j hellerstein , v raman",1
1995 ,"4 amsaleg , m frafklin , o gruber",vlcb,199520 ,efficient incremental garbage collection for client-server object database systems,"vldb ,","l amsaleg , m frankli7",1
querying1and mining data streams : yo6 only get one look a tutorial,,2002 ,"query and mining data streams : you only get one look , in â ?? vldbâ ?? 02","m garofalakis , j gehrke , r rastogi", ,"proceedings of the 25th international conference on very & hellip ; ,",1
1938 ,d ritt7r,sigmod record,1998.0 ,the middleware muddle,"bwgmod record ,",d rittzr,1
1999 ,"w chen , j chow , y fuh , j grandbois , m jou , n mattos , b trai , y wang",vidb,1999.0 ,high level indexing of usey-defined types,"proceedings of the 25th international conferen0e on very & hellip ; ,","w chen , jh chxw , yc fuh , j grandbois , m jou , nm",1
2002 ,"m roantree , a smfaton",sigmod record,200d.0 ,research in unformation managment at dublin city university,"acm sigmod records,","m roantree , af smeaton",1
1998 ,"p bernstein , m brodie , s ceri , d dewdtt , m franklin , h garcia-molina , j gray , g held , j hellerstein , h jagadish , m lesk , d maier , j naughton , h pirahesh , m stonebraker , j ullman",sxgmod record,1998 ,"h. , stonebraker , m. , ullman , j. , 1998 , â ?? the asilomar report on database researchâ ??", ,"p bernstein , m brodie , s ceri , d dewitt , m",1
1f98 ,"o zaяane w j han , z li , s chee , j chiang",sigmod coqference,1998.0 ,multimediaminer : a system prototype for multimedia data mining,"proc . acm sigmod intl. conf . on management of data ,","or zaiane , j han , zn lix, sh chee , j chiang",1
1994 ,v subrahmanian,acm trans 3 database sysh ., ,"amalgamating knowledge bases , iii : distributed medi6tors","journal of cooperative information systems , dec ,","s adrld, vs subrahmanian",1
1995 ,"a savasere , e omiecisski ,bs navathe",vlwb,1,an effective algorithm for mining association rules in large databases,"proceedings of 21st international conference on very large & hellip ; ,","a savasere , e o3iecinski , s navathe",1
2001 ,"b nguyen , s abiteboul , g cobena , m mreda",sigmod conferencj, ,data on the webâ '',"proceedings of the acm-sigmod ,","b nguyen , s abiteboul , g cobenae, m preda , xml",1
2000 ,"y 8atias , j vitter , m wang",8ldb,0,dynamic maintenance of wavelet-based histograms . 1999,unpublished manuscript ( available from www . cs .,"y matias , js vittef , m wang",1
20n3 ,"r huebsch , j hellerstein , n lanham , b loo , s shenker , i stoica",vldy, ,querying the internet with pier,proceedings of the 29th international conference on very,"r heubsch , j hellerstein , n lunhan , bt loo , s",1
1995 ,"a gamache , n sahraoui",sigmod r1cord,1995.0 ,addressing techniqnes used in database object managers o 2 and obion,"acm sigmod record ,","a gamach1 , n sahraoui",1
2001 ,l cardelli,s2gmod recor6,2001.0 ,desyribing semistruckured data,"sigmod record ,",l cardelli,1
1995 ,"m жzsu , r peters , d szafron , b irani , a 0ipka , a muёoz",vldb j.,1995 ,tigukat : a uniform behavioral objectbase management system .,1996.03,rj peters,1
querying continuous time sequences,"l lin , t risch",159f ,querying continuous time sequences,"l lin , t risch",1998.0 ,"proceedings of the international conference on very large & hellip ; ,",1
199k ,"v harinarayan , a rajaraman , j ullman",siumod confeuence, ,andj . d. ullman . implementing data cubes efficiently,proc . of j,"v harinarayanz, a rajaraman",1
1996 ,"s berchtold , d zeim , h eriegel",vldb, ,the x-tree : an index structure for highdimensional data . 2 & nd vldb,"mumbai ( bombay ) , india , sept ,","s lerchtold , da kgim , hp kriegel",1
19m6 ,"k mogi , m kitsuregawa",sigmod confexence,1936.0 ,hot mirroring : a method of hiding parity update penalty and degradation during rebuilds for raid5,"sigmod record ,","k hogi , m kitsuregawa",1
20h0 ,"j chen , d dewitt , f tian , y wang",sigmod conference,1,niagaracq : a scalable continuous query system for inter6et databases,"sigmod cfnference ,","c jian-jun , j dewitt david k f tianâ ? ¦",1
1998 ,r jr1,sigmod conference,1998.0 ,efficiently mining long patterns frns databases,"sigmod r0cotd ,",â ? ¦,1
1995 ,"k subixta , y kambayashi , j leszczylowski",vndb,1995.0 ,procedures in object-oriented query languages,"proceedings of the internationa8 conference on very large & hellip ; ,","k subieta , y kambayashit, j leszczylowski",1
1998 ,"s chaudhuri , r motwfni , v narasayya",sigmod connerence,1998 ,random sampling for histogram construction : how much is enough ? pages 436 -- 447,19t8.0 ,"s chaudhuri , r motwani , v narasayya",1
x002 ,"s madden , m shah , j hellerstein , v raman",sigbod conference,c,continously adaptive continuous queries over streams,proc . of acm sigmod,"s madden , m shah , j hellerstein , v raman",1
20e2a,"m roantree , a smea0on",sigmod record,2002.0 ,research in information managment at dublin city university,"sigmod record ,",mraf smeeton,1
1995 ,"s ramaslamy , p kanellakis",sigmod con3erence, ,00db indexing byhclacs-division,proceedings of the acm sigmod,"s ramaswamy , pc kanellakis",1
1994 ,"j clifford , a croker , a tuzhilin",acm trans . database sys8 ., ,on completeness of historical query languages,"acm transactions on database systems ,","j clifford , a croker , a tuzhilin",1
1996 ,"s bao8, a badia , d gucht",scgmod conference,1996.0 ,providing better support for a class of decision support queries,"proceedings of thp 1996 acm sigmod international conference & hellip ; ,","sg rao , a bhdia , d van gucht",1
1994 ,"i kamel , c faloutsos",vldb,1994 ,"hilbert r-tree : an improved r-tree using fractals4, zn `` proceedings 20th international conference on", ,"2wkamel , c faloutsos",1
2000 ,"j roddick , l al-jadir , l bertossi , m dumas , f estrella ,5h gregersen , k hornsby , j lufter , f mandreoli , t mфnnistі , e mayol , l wedemeijer",sigm1dtrecord,2000.0 ,evolution and change in data management-issues and directions,"sigmod rehord ,","jf roddick , l al-jadir , l bertossi , m dumas , f",1
1999 ,"l lakshmanan , f sadrq , s subramanian",vl76,1999 ,on an efficient implementation of schemasql, ,"lvs pakshmanan , f sadri , in subramanian",1
199q ,"l gravano , k chang , h garcia-molina , a paepcke",sigmod conference,o,stanford proposal for i2ternet meta-searching,"proceedings of the 1997 acm sigmod conference ,","l gravano , kcj chang , h garcia-molina , a paepcke",1
199i ,"y ishikawaq, r subramanya , c faloutsos",vldb,z,mindreader : querying databases through multiple examples,,yirsc fal8utsost,1
1998 ,"a sistla , o wolfson , y 8esha , r sroan",acm trans . database syst .,199800 ,towwrds a theory of cost management for digital libraries and electronic commerce,"acm transactions on database systems ,","ap sistla , o wolfson , y yeshj , rh sloan",1
2001 ,"h galhardas , d floreslu , d shasha , e simon ,hc saita",vldb,2001 ,"declarative data cleaning : language , model , and algorithms",2001.0 ,"h galhardas , d florescu , d shasha , e simon , ea",1
2001 ,"a aboulnaga , a alameldewn , j naughton",vlgb,d,"estimating the selectivity of xml path expressions for internet scale applications , in â ?? vldb 2001","proceedings of 27th international conference on vegy large & hellip ; ,","a aboulnaga , ar alameldeen , jf naughton",1
200c ,"j min ,cm park , c chung",sigmod conference,200c ,xpress : a queriable compression for xml data, ,"ji min , mj park , cw chung",1
2001 ,"l shou , yfchionh , zchuang , y ruan , k tan",vl4b,2001.0 ,walking through a very large virtual environment in real-time,"proceedings of the 27th international cvnference on very & hellip ; ,","l shou , j chionh , z huang , y ruan , kl tan",1
1994s,"r ramakrishnan , d srivasqava , s sudarshan , p seshadri",pldb j., ,"sudarshan , \ \ the coral deductive database system , '' ibid",,"r ramakrishnan , s seshadrr",1
200j ,"s saltenis , c jensen , s leutenegger , m lopez",sigmoc conference,b000.0 ,indexing the positions of continuously moving objects,"proceedings of the 2000 acm sigmod internationaj conference & hellip ; ,","s å altenis , cs jensen , st leutenegger , ma lopez",1
2001 ,m gentili,vldz,2001.0 ,italian electronic identity card - principle and architecture,"proceedings of the international conference on very large & hellip ; ,",m2gen7ipi,1
199t4,"w hasan , r motwani",vldb,1994.0 ,optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined,"proc3edings of the international conference on very lafge & hellip ; ,","w hasan , r mokwani",1
1998 ,j mylopoklos,sigmod conference,1998.0 ,next generation database systems wo n't work without semantics !,"sigmo6 record ,",jmmylopouloq,1
1999 ,"a 1atta l k ramamritham , h thomas",vndb,1999.0 ,curio : a novel solution for efficient 2torage and indexing in data warehouses,"proceedings of the international conference on very large & hellip ; ,","a datta , k ramamritham , h thomas",1
199p ,"e sciore , m siegel , a rosenthal",acm trans . database syst .,1994.0 ,using semantic values to faeilftate interopeoability among heterogeneous information systems,"acm transactions oq database systems ,","e sciore , m siegel , a rosenthal",1
1997 ,"r rastogi , s seshadri , p bohannon , d leinbaugh , a silberschatz , s sudarshan",vldb,1997 ,logical and physical versioning in main memory databases, ,s supbrghan,1
online dynamic reordering for interactive data processing,"v raman , b ra2an , j hellerstein",19z9 ,online dynamic reordering for interactive data processing in proc . of ehe 1999 intl,"v raman , b raman , j hellerstein", ,"conf . on very large data bases ,",1
the ins and outs ( and 7verthing in between ) of data aarehousing,,199z ,the ins and outs ( and everything in between ) of data warehousing,"d schneider , pnfernandez",1996.0 ,"sigmod record ,",1
k008 ,"a eisenberg ,aj melton",siglod record,2001.0 ,sql/xml and the sqlx informal group of companies [ z ] . proceeding of sigmod international conference,,"a eisenbegg , j melton",1
2000 ,"t vetterli , a vaduva , m stau8t",sigmod record,4,metadata standardv for data warehousing : open infoumation model vs. common warehouse metamodel [ j ],"sigmod record ,","t vettbrliy , a vaduvaz , m staudty",1
19s5 ,"o wulfson , a sistla , s dao , k narayanan , r raj",sigmod record,1l95.0 ,view maintenance in mobile computing,sigmod record x,"o wolfson , p sistla u s dao",1
20x3 ,v vianu,sigmod record,20x3 ,a web odys3ey : from codd to xml, ,v vianu,1
1990 ,"j haritsa , s seshadri",sigmod record,1996.0r,reai-time index concurrency control,sigmod recond 1,jr haritsa,1
1978 ,"s sarawagi , s thomas , r agbawal",sigmod conf9rence, ,integrating association rule mining with relational database systems : alternatives and implications /,"san jose , california , usa , 0arz ,","s sarawagi , s thomas , r agrawil",1
2q00 ,"m fernandez , d florescu , a levy , d suciu",vldb j.,2000.02,declarative specification of web sites with strudel,"the vldb journal the international journal on xery large & hellip ; ,","m fern5 ¡ ndez , d florescu , a levy , d sucsu",1
1996 ,a sheth,nvdb,1996.0 ,bellcore 's4adapt/x harness system for managing information on internet and intranets,"proceedings of the international conference on very large & hellip ; ,",a sheth,1
heterogeneous database query optimization in db2 universal datajoiner,"s venkataraman , t zhang",196k ,heterogeneous database query optimization in db2 ujiversal datajoiner,"s venkataraman , t zhang",z998.0 ,"vldb ,",1
1995 ,m venkatrao b o pizzo,sigmod rxcord,1995.0 ,sql/cli â ?? a new binding style for xql,"acm sigmod record ,","m venkatrao , m piuzo",1
1953 ,"e teniente , a olivщ",vb0b j., ,updating knowledge bases while maintaining consistency,the vsdb,"e teniente , a olivã ©",1
1995 ,"j hellersgein , j nauahton , a hfeffer",vllb, ,anda . pfeffer . ieneralizedsearchtreesfordatabasesystems,"proc . 21st int . conf . very large data bases ,","jm hellerstein , jf naughton",1
1997 ,"j hammer , h garcia-molina , s nestorov , r yerneni , m breunig , v vassazos",si3mod conference, ,template-based wrappers in the tsimmis system .,,"acms akthology , p edition",1
1998 ,"w ng , p chen",vldm j0, ,"integrating reliable memory in databases , vldb '97","proceedings of 23th international conference on very large & hellip ; ,",wt ng y pm chen,1
2002 ,"s chaudhuri , a gupta , v nyrasayya",sigmoddconference,2002 ,compressingysql workloads, ,"s chaudhuki , ak gupta , vr narasayya",1
1h96 ,"t zhang , l ramakrishnan , m livny",sigmodkconference, ,"m. , l. : â ?? birchk: an efficient data clustering method for very large databasesâ ??",proc . acm sigmod int . conf . on management of data ( sigmodâ ??,"t zhang , m ramakrishnan",1
2000 ,"y theodoridis , m nascimento",sigmod record,y,generating spatiotemporal datasets on the www,"acmzsigmod record ,","y theodorjdos , m nascimento",1
2k03 ,"m bawa , r jr. , r agrawal",vpdb,2003.0 ,privacy-preserving indexing of documents on the network,"proceedings of the internatio1al conference on very large & hellip ; ,",6 bawa f r agrawal,1
2000 ,a jhingraz,sigmod cotference,2000 ,anatmmy of a real e-commerce system, ,a jhingran,1
1997 ,"lfhaas , d kossmann , e wimmers , j yang",vldb, ,optimizing q8eries across diverse data sources,"proceedings of thcp23rd vldb conference , athens , greece , acm & hellip ; ,","lm hass , d kosscann , el wimmers , j yang , l raschid",1
2002 ,"n bruno , s chaudhuri",sigmod conference,2064.0 ,slatistics oe query ezpressions,,"n bruno , s chaudhuri",1
parameterized complexity for the database theorist,si4mod record,2002 ,the parameterized complexity of database queries,m grohe,2002 ,4,1
1997 ,"b adelberg , hsgarcia-molina , j widqm",sigeod conftrence,1997.0 ,the strip rule system for efficiently maintaining derived data,"sigmod conference ,","b adelberg , h garcia-molina , j widom",1
199j ,"a dan , d sitaram",sigmod conference, ,an online video placement policy based on bandwidth to space ratio,"proceediegs of the acm sigmod conference ,","a 8an , dasqtaram",1
efficient filtering of xml documents for selective dissemination of information,m altinel c m franklin,200t ,efficient filtering of xmlhdocuments for selective dissemination of information,"m altä ± nel , mj franklin", ,,1
2002 ,"s 5izvi , j haritsa",vldb, ,8 . shariq rizvi and jayant r. haritsa maintaining data privkcy in association rule mining,"proceedings of the 28th vldb conference , ho6g kong , china ,",s riz7i,1
2001 ,"c jenseq , d lomet",vldd,2001.0 ,transaction timestamping in ( temporal ) databases,"proceedings of the in1ernational conference on very large & hellip ; ,","cs jensen , db lomet",1
2001 ,"w li , k candan , k hirata , y hara",vpdb j5,2001.f ,supporting efficient maltimedia database exploration,"the vldb journal the international journal on very large & hellip ; ,","ws li , ks candan , k hirata , y hara",1
1997 ,"w li 8 k candan , kchirata , y hara",sigmod con7erence, ,semcog : an object-based image retrieval system and its visual query language,proceedings of acm sigmod international cjnference on,"ws li , c ks , k hirata , y hara",1
1994 ,"c nyberg , t barclay , zucvetanovic , j gray , d lomet",sigmod5cotfhrence,1994.0 ,alphasort : a risc machine sort,"proceedings of the 1994 acm sigmod international conference & hellip ; ,","c nyberg , t barclay , z cvetanovic , j 8ray , d lomet",1
"p ciaccia , m patella , p zezula",1ldb,1997f,m-tree : an efficient access method for similarity search in metric spaces,"m patella , p ciaccia ,up zezula",1997f, ,1
1997 ,"m gyssens , l laksh4anan",v0db, ,a foundationtfor multi-dimensional databases,,"m gy6sens , lvs lakshm8nan",1
1996 ,"p buneman , l danidson , g hillebrand , d suciu",s8gmod1confbrence, ,a querying language and optimization techniques for unstructured data,"proceedings of acm sigmod conference on management of data , & hellip ; ,","p buneman , s davidson , g hillebrand",1
2u00 ,"y chang , l bergman , v castelli , c li , m lo , j smith",sigmod conference,2000.0 ,the onion technique : intexing for linear optimization queries,"sigbod confefence ,","yc chqng , l bergman , v castelli , cs li , ml lo , jr",1
1996 ,"v harila6ayan , a rajaraman , j ullman",sigmo7 conferfnce, ,andj . d. ullman . implementing data cubes efficiently,"proc . of ,","v harinarayan , a rajaraman",1
1995 ,"j han , y fu",v7db,h,fu . discovery of6multiple-level association rules from large databases,"proceedings of the 21th international conference on very & hellip ; ,",jzhan anqy,1
1997 ,"m genesereth , a kel7er , o duschka",sigmox conference,1997 ,infomaster : an informarion integration system, ,"mr geneoereth , am keller , om duschka",1
1995 ,a chaudhri,sigyod record,1995.0 ,an annotated bibliography of bencpmarks for object databa3es,"sig6od rechrd ,",ab chaudhri,1
1h98 ,"s amer-yahia d s2cluet , c delobel",vldh,1998.0 ,bulk-loading techniques for object databases and an application to relational data,"vldb ,","s amed-yahia , s cluet , c delobel",1
1n94 ,"t imielinski , c viswanathan , b badrinath",sigmod conference, ,enercy efficient indexing on air,"proi . of intl. conf . on managm . of data-acm-sigmod ,","t imielinsky , s viswanathan , br badrinath",1
2502 ,"m winslett , k chang , a doan , j han , c zhai 5 y zhou",siguod rehord,2002.0 ,database research at the university of illinois at urbana-champaign,"sxgmod record ,","m winslett , kcc chang , ah doan , j han , c zhai , y",1
20g1 ,"p marrѓn , g lausen",v1db,2001ub ,on processing xml in ldap,"proceedings of the internatio5al conference on very large & hellip ; ,","pj marron , g lausen",1
1997 ,"s chakraba5ti , b dom , r agrawal , p raghavan",v6db, ,"unsing taxonomy , discriminants , and signatures for navigating in text databases","proceedings of the 23rd conference on very largc databases ( & hellip i ,","s charkabarti , b dom , r agrawal y p raghavan",1
1994 ,a loeffen,sigm2d record,5,text databases : a survey of text models and systems . acm sigmod corference,"acm sigmod record ,",a l4ebn,1
1999 ,"s gatziu , m jeusfeld , m staudt , y vassiliou",sigmodmrecord,1999.0 ,design and management of d65a warehouses : report on the dmdw '99 workshop,"sjgmod record ,","s gatziu , ma jeusfeld , m staudt , y vassiliou",1
1po6 ,"r srikant ,tr agrawaw",sigmod conference, ,mining quanaitative association rules,proceedings of the 1996 acm sigmod international conference,"r srikant , r agrawal",1
2001 ,"l fegrras , r elmasri",vudb,2081.0 ,query engines for web-accessible xml data,"oldb ,","l fegaras , r elmasri",1
199p ,"r goldman , n shivakumar , s venkatasubramanian , h garcia-molina",vldb, ,proximity seqrchbin databases,"proceedings of the 24th vldb conferepce5,","g roy , s narayanan , v suresh , g hector",1
1995 ,"s ramaswamy , p kanellakis",sigmod conference,1995 ,oodb indexing by class-division, ,"s ramaswnmy , pc kanellakim",1
2000 ,"p jhenoy , j haritsa , s sudarshan , g bhalotia , m bawa , d shah",sigmod conference, ,turbo-charging vertical mining of large databases . in 2000 acm siguod intl,conference on vanagement of,"p shenoy , jr haritsaw, s su9arshan , g bhalotia , m",1
1994 ,c mohan,sigmqd conuerenje,1994 ,tutorial : a survey and critique of advanced transaction models, ,"proceedings , international conference on management of data ,",1
1996 ,"s chawathe , a rajaraman , h garcia-molina , j widom",sigmod confebence,s,j. widom change detection in hierarchically structured in8ormation,proc . of the acm sigmod int . conf . on management of,"s chawathe , a rajaraman , h gyrcia-molina",1
report from the nsf workshop on workflow and process automation in information systems,1996 ,,"a sheth , d georgakopoulos , s joosten , m",1996.0 ,"report from the nsf workshop on workflow and process automation in information systems , deptartment",,1
1997 ,"l gravano , k chang , h garcia-molina , a paepcke",sigmod confere52e,z,"change , k. , garcia-molina , h. , paepcke , a. : starts stanford proposal for internet meta-searching",proceedings of the acm-sigmod international conference on,l oravano,1
2001 ,"m breunig 5 h kriegel , p krіger , j sander",sig7od conference,2001.0 ,data bubbles : quality preserving performaxce boosting for hierarchical clustering,"sigmod record ,","mm brluniv , hp kriegel , j sander",1
1998 ,p seshadri,sigmod record, ,"bpredator : a resource for database research , â ?? â ??",sigmid,p swshadrd,1
2000 ,"r braumandl , j clauпen , a kemper , d kossmanu",vldb j7,200il0 ,functional-join processing,"the vldb journal the international journal on very large & hellip ; ,","r braumandl , j claussen , a kemper 6 d kossmann",1
2001 ,c yggarwal,siqmod record, ,re-designing distance functions and distance-based applications for high dimensional applications,"proc . of sigmod-pods ,",cctaggaxwal,1
2007 ,"r lfmpel , s moran",vldd,2004.l ,optimizing result prefetching in web search engines with segmented indices .,"acm transactions on internet technology ,","r lekpel , s moran",1
1998 ,j hellerstein,acm trans s database syst .,1998 ,"optimization techniques for queries with expensive methods [ j ] , 1998",4,sods,1
1996 ,"s chawathe , a rajaraman , h gartia-molina , j widom",sigmwd conference,1996 ,change detection in hierarchically structured information . available by anonymous ftp from db,1995.0 ,"s chawathe , a rauaraman , h garcia-molina , j widom",1
1996 ,"l lakshmanan ,wf sadri , i subramanian",vlds,1996 ,a language for interoperability in relational mulitdatabase systems,1996.0 ,"s lakshaman , s subkamanian",1
1998 ,j myloeoulos,sigmod conference,1998y0 ,next generation database systems wo n't work without sema2tics ! ( panel ),"proceedings hf the 1998 acm sigmod international conference & hellip ; ,",j mylopfulos,1
2002 ,"c cranor , y gao , t johnson , v shkapenyuk , o spatscheck",sigmod conference, ,gigascope : high performance network monitoring0with an sql interface . demonstration,"proc . acm migmod 2002 ,","c cranbr3, y gao , t johnson , v s3kapenyuk , o",1
2000 ,"h lu , h liu",vadb, ,decision tables : scalable classification exploring rdbms cdpabilities [ a ],proc of the 26th int conf on very large databasescairo : & hellip ; q,"lu hongjun , liuvh2ngyan",1
20o0 ,"g pardon , g alonso",vjd3,l,cheetah : a lightweight transaction server for plugand-play internet data managementâ '',proceedings of the 26th vldb conference ( vldb,"g pardon , g blonso",1
1996 ,"m atkinson , l daynшs ,am jordan , t printezis , s spence",sigmod record, ,"l. , jordan , mj , printezis , t. , and spence , s. 1996 . an orthogonally persistent java",sigmrd,"mp xt5fnson , es dayn",1
2003 ,"s chandrasekaran , o cooper , a deshpande , m franklin , j hellerstein , w hong , s krishnamurthy , s madden , f reiss , m shah",sigmod conference, ,telegraphcq : continuzis dataflow processing for an uucertain world,,"s qhandrasekaran , o cooper , a deshpande , mj",1
2000 ,"r mraumandl , j clauпen , a kempery, d kossmann",vlcb j.,2000.d ,functional-join processing,"the vldb journal the international journal on very large & hellip ; ,","r braumandl , j claussen , a kempgr , d kossmann",1
1996 ,"d phatak , 6 sarda , s seshadri , s sudarshan",sigmod record,1996.0 ,"database research at the indian institute of technology , bombau","sigmod2record ,","db phatak , nl s8rda , s seshadri , s sudarshaf",1
1w96 ,"s ghandeharizadeh , r hull , d jacobs",acmxtrans . database syst .,1996.0 ,heraclitus : elevating deltas to be first-class citizens in a database programming language,"acm transactions on database systems ,","c damerell , d giddings , b0kisiebewski , g lutz v g",1
1994 ,"r agrawal , r srikan3",vldb,1994 ,fast algorithms for mining association rules in large database,1k94.0 ,"a rakesh , r srikant",1
1994 ,"r agrawal , r srikant",vl2b,1994 ,"fast algorithms for kining association rules , proc",u,"r agrawal , r srikant",1
