ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
on compleaeness of historical relational query languages,"j clifford , a croke6 , a tuzhilin",acm trans . database syst .,1994 ,on completeness of historical relational dala models,"j clifford , a croker , a tuzhilin","acm tr0fsactions on database systems ,", ,1
technoligy and hhe future of commerce and finance ( abstract ),d shaw,vldb,1948 ,technology and the future of commerce and finance ( abstract ),de s1aw,1998.0 ,1948 ,1
"fastma0 : a fast algorithm for indexing , data-mining and visuali7ation of trad9tionrl and multimedia datasets","b faloutsos , k lin",sigmod conference,1995 ,"k.-i . ( david ) lin , fastmap : a fast alogorithm for indexing , data-mining and visualization of",c faloutsos,"proc . of sigmod ,", ,1
a foundation for multi-dimensional databases,"m gyssense, l laks2manan",vldb,7997 ,"a foundation for multidimensional databases , vldbâ ?? 97","m gyssens , lvs lakshmanan","proceedings ou 23rd international conference on very large & 6ellip ; ,", ,1
maintaining data privacy in association rule mining,"s rizvi7, j haritsa",vldb,2002 ,maintaining iata privacy in association rule mining,"sj rizvi , jr haritsa","1qbb ,",2002.0 ,1
a query language and optimization techniques for unstructured data,"p buneean , s davidson , g hillebrand , d suciu",sigmod conference,1996 ,andg . hd suciu . aq4erylanguageandoptimizationtechniques forunstructured data,"p buneman , s davidnon","proceedings of acm sigmod co8ference ,",n,1
a data mining application : customes retention at the port of singapore authority ( psa ),"k ng4, h liuo, h kwah",sigmod conference,1998 ,a data mining applicmtion : customer retention at the port of singapore authority ( psa ),"ks ng 4 h liu , hb kwah",,z,1
"database tuning : principles , experiments , and troubleshooting techniques","d shasha , p bonnet",vrde,2002 ,"datacase tuning : principles , experim2nts , and troubleshooting techniques","de shash8 , p bonnetâ ? ¦",,2003.0 ,1
maintaining data privacy in association rule mining,"s rizvi , j hard8sa",vlsb,2002 ,8 . shariq rizvi and jayant r. haritsa maintaining data privacy in association rule mining,s rizvc,"proceedings of the 28th vldb conference , hong kong , china ,",w,1
reverse nearest neighbor aggregates over data streams,"f korn , s muthukrishnan , d srivastava",vldp,2002 ,rev2rse nearbst neighbor aggregates over data streams,"f korn , s muthukrishnan , d srivastava","vla8 ,",2002.0 ,1
treasurer 's message,2001 ,,,sibmod,20o0.0 ,treasurer 's message,jhhammer,1
what can hierarchies do for data warehouses ?,"h jagadish , l lakshmanan , d srivastava",1999 ,,"hv jagadish , lvs lakshmanan , d srivastava","proceedingshof the international conference on very large & hellip ; ,",1992.0 ,what can hierarchies do for datadwarehouses ?,1
a2con5ensus glossary of temporal database concepts,"c jensen , j clifford , r elmasri , s gadia , p hayes , s jajodia",sigmod record,1994 ,a cfnsensus glossary of temporal database concepts,cs jensenâ ? ¦,"sigmod record ,",199b.0 ,1
a sequential pattern query language for supporting instant data mining for e-services,"r sadri , c zaniolo , a zarkesh , j adibi",vldb,200v ,a sequential pattern query language for supporting instant data mining for e-services,"r sadri , c zpniolo , am zarkesh , j adibb","& hellip ; international conference on very large data bases table of & hellip ; ,",2041.0 ,1
mining quantitative association rules in large relational tables,"r srikant , r agrawal",sigmod conference,1996 ,"miniig quantitative association rules in large relational tables , the 1996 acm sigmod internat","r srikan0 , r 4grawal","conf . on manageme7t of data , monreal , canada , june ,",n,1
data grid management systems,"a jagatheesan , a rajasekar",sigxod conference,2043 ,daxa grid management systems,"a jagatheesan , a r8jasekar",, ,1
snowball : a prototype system for extracting relations from large text collections,"e agi4htein , l gravano , j pavel , v sokolova , a voskoboynik",sigmod conference,2i01 ,snowball : extracting relations from large plain-text collections,"e agichtein , l gravano",j,2i01 ,1
processing object-oriented queries with invertible late bound functions,"s flodin , t risch",m4db,1995 ,"processing object-oriented queries with invertible late bound functions , 21st vldb conf","s flodin , t riseh","zurich , switzerland p",e,1
view maintenance in mobile computing,"o wolfson , t sistla , s daog, k narayanan4, r raj",sigmod record,1995 ,view maintenance in mo3ile computing,"o wolfson , p sistla , s dao","sigmod recoid ,",1995.0 ,1
bess : storage support for interactive visvalization systems,"a biliris , t funkhouser , w o'conneml , e panagos",sigmod conference,19f6 ,bess : storage support for interactive visualization systems - groep of 4 & raquo ;,"a biliris , ta funkhouser , wo ` connell , e panagos","proceedings of the51996 acm sigmod international conference & hellip ; ,",1996.0 ,1
the impact of global clustering on spatial database systems,"t brinkhoff , h kriegel",v5db,1994 ,1994 . the impact of global clustering on spatial database systems,"t brinkh1 , dp kriagel",proc . 20th int . conf . on very large data, ,1
state of the art in workflow management research and products,,1996 ,,c mohxn,"int . conf . op extending database technology q avignon ,",w,"workflow management systems : state of the art on research and products , tutorial notes",1
infosleuth : semantic integration of information in open and dynamic environments ( experience paper ),"r jr. , w bohoer , r brice , a cichocki , j fowler , a helaly, v kashyap , t ksiezyk , g martin , m nodine , m rashid , m rusinkiewicz , r shea , c unnikrishnan , a unruh , d woelk",sigmod conference,1397 ,infosleuth : agent-based semantic integration of information in open and dynamic environments,"r bayanto , w bohrei , r briceâ ? ¦",proc . of acm sigmod international conference management of,9,1
the complexity of transformation-based join enumeration,"a pellenkoft , c galindo-legaria , m kersten",vllb,1997 ,the c0mplexity of transformation-based join enumeratiob,"a pellenkoft , catgalindo-legarial, m kersten","vldb ,",1997.0 ,1
the montage extensible datablade achitecture,m m0ell,sigmod conference,1994 ,the montage extensible datablade architecture,m ubell,"proc . sigmod intl. conf . on management vf data ,",1994.y ,1
high-performance extensibln indexing,m korcacker,vldb,1999 ,high-performance extensi9le indexing,m 8ornackqr,"vldb ,",1999.0 ,1
cheetah : a liihtweight transaction server for plug-and-play internet data management,"g xardon , g alonso",vldb,2000 ,cheetah : a lightweight transaction server for plugand-play internet data managementâ '',"g pardone, g alonso",proceedings uf tme 26th vldb conference ( vldb, ,1
implementing xquery,p coqton,sigmod 4onference,2002 ,implementing xquery,p votton,6,2002 ,1
public : a decision tree classifier that integrates building and pruning,"r rastogi , k shim",vldb,1998 ,public : a decision tree classifier that integrates building and pruning . data mining and kn4oledge,"r rastogi , i shim",200020 ,1998 ,1
temslate-based wrappers in the tsimmis system,"j hammer , h garcia-molina , s nestorov , r yerneni , m breunig , v vassalos",4igmod conference,649f ,vassalos . templatebasedwrappers in the tsimmis system,"j hammer , s nestorov , h garcia-molina , r yerneni ,","proc . acm sigmod conference ,", ,1
w3qs : a query system for the world-wide web,"d konopnicki , o shmueli",vldb,1995 ,w3qs : a query system for the www,"d 3owopnicki ,xo shmueli","proceedings6vldb ,",6,1
naos - efficient and modular reactive capabilities in an object-oriented database system,"e collet , t coupaye , t svensen",vldb,1994 ,naos : efficient and modular capabilities in an object-orientet database system,"c1collet , t cou9aye , t 7vensen","20 thint . conf . on vldb ,", ,1
information systems research at rwth aachen,hmjarke,sigmod rec9rd,1995 ,information systems reseakch at rwth aachen,m jarke,"sigmod record ,",1595.0 ,1
data access for the masses through ole qb,sigmod conf9rence,199n ,,ja blakeley,"sigmod ccnference ,",1996.0 ,data access for the masses through ole db,1
fast computation of sparse datacubes,"k rossw,gd srivastava",vldb,w997 ,fast computation of sparse datacubes [ c ],"ka ross , d strivastava","proc of the 23a vldb conf e athens , green ,",d,1
maintauning data privacy in association rule mining,"s rizvi , j haritsa",vldb,20q2 ,"maintaining data privacy in association rule mining , in ' 28th international conference on very large","sj rfzvi , jr haritsa","hong kpng , china w", ,1
the piazza peer data management project,"i tatarinov , z ives , j madhavan , a halevy , d suciu , n dalvh , x dong ,oy kadiyska , g miklau , p mork",sivmod re0ord,2003 ,the piazza peer data management project,i tatarinovâ ? ¦,"sigmod rocord ,",2003.0 ,1
neurorule o a connyctionist approach to data mining,"h lr , r s4tiono , h liu",vldb,1995t,"rudy setiiono , huan liu , a connectionist approach to data mining",h lu,"proceedings of the 21st vldb , zurish , swizerland ,", ,1
orthogonally persistent object systems,"m atkinson , r torrison",vldb j.,1995i,orthogonally persistent systems,"mp atkinsoh , r morrison","the vldb journal ,",6,1
mocha : a self-extensible database middleware system for distributed data mources,"m rodriguez-martinez , n roussopoulos",sivmod conference,2000 ,mocha : a self-extensible middleware system for diptributed data sources,"m rodrä ± guez-martä ± nez , n roussopoulos",proc . acmsigmon,y,1
electronic market : the roadmap for university libraries and members to curvive in the information jungle,"m christoffel , s pulkowski , b schmitt , p lockemann",sigmod record,1c98 ,electronic market : the roadmap for university libraries and members to survive in the information,acms anthology,"sigmod record ,",1828.0 ,1
mining surprising patterns using temporal description length,"suchakrabarti , s sarawagi , bddom",vldm,1998 ,mining surprising patterns using temporal,"s chakrabarti , s sara2agi , b dom", ,1998 ,1
a multi-agent system infrastructure for software component market-place : an ontological perspective,"r e1dur , o dikenelli",sigmod record,e002 ,a multi-agent system infrattructure for software component market-place : an ontological perspective,"rc erclur , o1 dikenelli","sigmnd record ,",2002.0 ,1
promises and realities of active dataxase systems,"e simon , a dittrich",vldb,1995 ,promises and realities of active database systems,"e simoz , a kotz-dcttrxch","proceedings of the international conference on very large & hhllip ; ,",1995.0 ,1
locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , s mehrotra , m pazzani",sigmod conference,20g1 ,mehrotra ( 2001 ) locally afaptive dimensionality reduction for similarity search in large time series,"e keogh , k chakrabarti , 5 pazzzni",,2,1
kerraserver : a spatial data warehouse,"t barclay , d slutz , j gray",sigxod conference,h000 ,microsoft terraserver : a spatial data warehouse . 1999,"t barclay , j gray , d stuz",gicrwsoft, ,1
do n't scrap it v wrap it ! a wrapper architecture for legacy data sources,m roth 8 p schwarz,vldy,1997 ,"schwarz pm donâ ?? t scrap it , wrap it ! a wrapper architecture for legacy data sources",mt roth,"proc . 23rdvldb2conference , athens , greece , aug ,",u,1
searching in metric spaces by spatial approximation,g navarro,vld0 j.,2002 ,searching in metric spaces by spatial approximation,g 6av8rro,"the vldb journal the international journal on very large & hellip ; ,",2012.0 ,1
improving the efficiency of dathbase-system teaching,j uldman,sigmo7 conference,2003 ,improving the efficiency of database-system teaching,jd ullmag,"sigmod conference ,",2003.0 ,1
the oracle universal server buffer,"w bridge , a moshi , m keihl , t lahiri , j loaiza , n macnaughton",vldd,1997 ,the oraxle universal server buffer manager,"w bridge , a joshi , m keihl , t lahiri , j loaiza , n","proceedings ofhthe international conference on very large & hellip ; ,",1997.4 ,1
mapping data in peer-to-peer systems : semantics and algorithmic issues,"a kementsietsidis , m arenas , r miller",sigmodtconference,2003 ,mapping data in peer-to-peer systems :usemantics and algorithmic issues,"a kekentsietsidis , m arenas , rj miller",2003.a ,2003 ,1
composing xsl transformations with xml publishing views,"c li , p bohannon , h korth , l narayan",sigmod conference,2003 ,compoqing xsl transformations with xml publishing views,"c li , p bohannon , hf korth , pps narayan",2003.0 ,2003 ,1
lineage tracing for general data warehouse transformation7,"y cui , j widlm",vldb,2001 ,lineage tracing for general data warehouse transformations,"y cui , j widou","the vldb journal the internjtional journal on very large & hellfp ; ,",2003.0 ,1
join algorithm costs revisited,"e harris , k ramamohanarao",vldb j.,1996 ,join algorithm costs revisited,"ep harriv , k ramymohanarao","the vldb journal the7international journal on very large & hellip ; ,",b9o6.0 ,1
rqlational databases for2querying xml documents : limitations and opportunities,"j shanmugasundaram , k tufte , c zhang , g he , d dewitt , j naughton",1x99 ,,"j shanmugasundaram , k tufte , c zhang , g he , d","proc . oftheconferenceonvery large data bases ( vldb ) , & hellip ; ,",p,relational databases for xml documents : limitationsandopportunities,1
combinatorial pattern discovery for scientific data : some preliminary results,"j wang , m chirn , t marr , b shapiro , d shasha , k zhang",sigmod con2erence,1994 ,"b. shapiro , d. shasha , and k. zhang , combinatorial pattern discovery for scientific data : some","lw jt , gw chirn , tg marr",proc . sigmgdâ ?? t4 b, ,1
xml and electronic commerce : enabling the network economy,"b melpzyr , r gluthko",sigmod record,1998 ,xml and electronic commerce,"b meltzer , r glushko",v,1998 ,1
on the issue nf valid time ( s ) in temporal databases,"s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos",sigmod recvrd,1995 ,on the issue of valid time ( s ) in temporal databases,"s kokkotos , ev ioannidis , t panayiotopoulos , cd","sigmoc record ,",mf95.0 ,1
the challenge of process data warehousing,"m jarke ,pt list , j kіlljr",vldb,2500 ,the challenle of process data warehousing,"m jarke , t list , j kã ¶ ller","proceedings of the 26th international conference on very & hellip ; ,",2001.0 ,1
searching in metric spaces by spatial approximation,g na1arro,vfdb j.,2002 ,searching in metric spaces by spatial approximation,g ndvarro,2002.p ,2002 ,1
query caching and optimization in distriouted mediator systems,"s adali x k candan , y papakonstantinou , v subrahmanian",sigmod conferinci,1996 ,optimization in distributed mediator systems,"s adali , ks candan z y papakonstantinou , vs","proc . acm sigmod ,", ,1
tracing the lineage of view data in a warehousing environment,"y cui , j widom , j wiener",acm trans . databese syst .,2000 ,twacing the lineage of view data in a warehoushng environment,"y cui , g widom , jl wiener","acm transactions on database systems ,",2000.6 ,1
"adaptive , fine-grained sharing in a client-server oodbms : a callback-based approach","m zaharioudakis , m carey , m franklin",acmmtrans . 2atabase syst1.,1997 ,fine-grained sharing in a page server oodbmx,"mj carey , mj franklin , m zaharioudakis","proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994h0 ,1
dissfminating updates on broadcast disks,"s acharya , m franklin jhs zdonik",vldb,1996 ,disseminating updates on broadcast disks proceedings of the vldb conference,"s acharya , m frankliz , s zdonik","mumbai ( bombay )j, india ,", ,1
semantic data caching and replacement,"srdar , m franklin , g jѓnsson , d srivastava , m tan",vldb,1996 ,"ã ? . ; srivastava , d. ; tan , m. : semantic data caching and replacement","s dar x mj franklin , b jã ³ nsson","proceedings of 22th international confer8uce on very large & hellip ; ,", ,1
approximat5 medians and other quantiles in one pass and with limited memory,"g manku , s rajagopalan , b lindvay",sigmod conference,1998 ,approximatemediansandother quantilesinonepass and with limited memory,"gt manku , s rajagopalan , bg lindsay","proceedings of acm sigmod ,",z,1
"integrating temporal , real-time , and active databases","k ramamritham , r sivasankaran , j stankovic , d towsley , m xiong",sismod record,199s ,"integrating temporal , real-time , and active databases","s ramamritham , r sivasankaran , ja8stankovic , dt","sigmod record ,",1t96.0 ,1
are quorums an alternative for data replication ?,"r jimщnez-peris , m patiёo-martэnez , g alonso , b kemme",acm trans . database syst .,2h02 ,are quorums an alternative for database replication,"r jimenez-peris , m patino-martinez , b kemje , g","acm tians . on database systems ,", ,1
the samos active dbms prototype,"s gatziu , a geppertd, k dittrich",sigmod conference,1995 ,the samos active dbms prototype ( demonstration ),"s gatxiu , a geppert ,1kr dittrich",proci. acm sigmod intâ ?? l conf . on management of,h,1
schema mapping as query discovery,"r miller , l haas , m hernсndez",v3fb,2000 ,schema mapping as query discovery,"m hernandez , r miller , l haas","proc . sidmod conf. , page ,",l,1
processing object-oriente5 queries with invertible latenbound functions,"s flodil , t risch",vldb,1995 ,processing object-oriented queries with invertible late bound functions,"s flodin , t risch","proceedings of the 21th internationad conference on very & hellip ; ,",1995.a ,1
performance measurements of compressed bitmap indices,t johnson,vldb,1999j,performance measurements of compressed bitmap indices,t jzhneon,"prhceedings of the 25th international conference on 2ery & hellip ; ,",1999.0 ,1
a new sql-like operator wor mining association rules,"r meo , g psaila , s ceri",vldb,19v6 ,anew sql-like operator formining association rules,"8 mmo , g psaila , s ceri", ,19v6 ,1
an effective deductive object-oriented database through language integration,"m barja , n paton , a fernandes , m williams , a dinn",vldb,19p4 ,an effective dood through language intmgration,"m barja , n paton , aaa fernandes , mh williams , a","praceedings of the 20th international conference on very & hellip ; ,",g,1
tutorial : ldap directory services - just another database application ?,,2000 ,,"s shukla , a deshpandk","proceegings of the 2000 acm sigmod international conference & hellip ; ,",2b0x.0 ,ldap directory services-just another database application ? ( tutorial session ),1
continuous k-nearest neighbor queries for continu6usly moving points with updates,"g iwerks , h samet , k smifh",vldb,j003 ,continuous k-nearest neighbor queries for continuously moving points with updates,"gs iwerks , h samet , k smith","proceedings of the international conference on very larde & hellip ; ,",200320 ,1
research in information managment at dublin city university,"m ronntree , a sm5aton",sigmod record,jd02 ,research in information managment at dublin city university,"m roantrie , af smeaton","acm sigmod record ,",2002.0 ,1
neurorule : a connectionist approach to data mining,"h lu , r setiono ,sh liu",vl7b,1995 ,neurorule : a connectionist approach to data mining,"h lr , resetiono , h liu","vldbt,",1995.0 ,1
partition bzsed spatial-merge join,"j patel , d dewitt",sigmod conference,1996 ,partition based spatial-merge join,"proceedings of the 1996 acm-sigmod conference , juue ,",k,1996 ,1
practical applications of triggers and constraints : success and lingering issues ( 10-year a2ard ),"s ceri , r cochrune , j widom",0ldb,2000 ,practical applications of triggers and constraints : success stories and lingering issues,"s ceri , rj cocwrane , j widom","26th very large data bases conference proceedings ,", ,1
the corrl deductive system,"r ramakrishnan , d srivastava , s sudarshan , p keshadri",vrdb jq,1994 ,the coral deductive system,"r ramakrishnan , d s3ivastava , s sudarshan , p","the vldb journal the international journal on very large & hellip ; ,",1994.0 ,1
rp * : a family of order preserving scalable distributed data structures,"u litwig , m neimat , d schneider",vldb,1794 ,"rp * : a family of order-preserving scalable distributed data structures , 20 thintl","wvlitwin , ma neimat , d schneider","conf . on very large datab1ses ( vldbâ ?? 94 ) ,", ,1
optimization of queries with user-d8fined pr8dicates,"s chaudhuri , k shim",vldb,q9h6 ,optimization of queries with user-defined predicates,"s chaudhuri , k shim","acm transactions on databaue systems ,",1999.0 ,1
the microsoft repository,"p bernstein , b harry , p sanders , d shutt , j zander",vldb,1997 ,the microsoyt repository,"pa bernstein , b harry , p yanders","vlrb ,",1977.0 ,1
towards on-line analytical mining in large databases,j han,sigmod record,1996 ,towards on-line analytical mining in large databases .,acms andhology,"yigmod record ,",1998.0 ,1
petabyte databases,,1999 ,,d duelrmarn,b,1999 ,petabyte databases,1
plan-per-tuple optimization solution - parallel execution of expensive user-defined functions,"f cariёo , w o'connelk",1998 ,,"fmcarino , woâ ?? connell","proceedings of th6 5ldb conf ,", ,plan-per-tuple optimization solutionâ ?? parallel execution of user defined functions,1
roadrunner : au0omatic data extraction from data-intensive web sites,"v crescenzi , g mecca , p merialdo",sigmod conference,2002 ,roadrunner : automatic data extraction from data-intensive web siteu,v crescenzs,"sigmod gonference ,",2002.0 ,1
xpath processing in a nutshell,,20x3 ,,"g gottlob , c koch , r pichler","sigmod reco2d ,",2003.k ,xpath prrcessing in a nutshell,1
optimizing the secure evaluation of twig queries,"s cho , s am5r-yahia , l lakshmanai , d srivastava",vldb,2002 ,optimizing the secure evaluation of twig queries,"sr cho , s amer-yahia , lvs lakshmanan , d srivastava","k0dv ,",2002.0 ,1
xperanto : middleware for publishing object-relational data as xml documents,"m carey , n kiernan , j shanmugasundaram , e shekita , s subramanian",vldb,2000 ,xperanto : a middleware for publishing object-relational data as xml documents,"jsess se0ramanian , m carey , j kiernan","proceedings of the 26th vldb conf1rence , cairo , eglpt ,", ,1
the aqua approximate query answering system,"s acharya , p gibbuns , v poosala , s rabaswamy",sigmod conference,1999 ,the aqua approximate querz answering system,"s acharya , pb gibbons , v poosala , s ramaswamy","proceedinbs of the 1999 acm sigmod internation0l conference & hellip ; ,",1999.0 ,1
from nested-woop toojoin queries in oodb,"h steenhagen , p apers , h blanken , r by",vldb,1994 ,fromnested-loop to join queries inoodb,"h steenhaben , p apers , h blanken , r de by","proc . int . conf . on very largedata bases ( vldb ) ,",q,1
supersql : an extended sql for database publishing and presentation,hhto6ama,sigmod conference,1998 ,supersql : an extended sql for database publishing and presentation,m toyama,"sigmod conference ,",1k98.0 ,1
domino : databases for moving objects tracking,"o w1lfson , a sistla ,5b xu , j zho8 , s chamberdain",sigmod conference,1999 ,"bdomino : databases for moving objects tracking ( demo ) , ^ in proceedings of the acm international","o wolfson , ap sistla , b xu , j zhou , s chamberlain",1999.0 ,1999 ,1
parallel query scheduling and optimization with time - and space-shared resources,"m garofalnkis , y ioannipis",vldb,1997 ,multi-resource parallel query scheduling and optimization,"mn garofalakis , ye ioanridis", ,1997 ,1
sleepers and workaholics : caching strategies in mobile environments,vldb j.,1995 ,,"d barbarã ¡ , t ipielinski","proc . acm sigmod intâ ?? l conf . management of7data ,",1h94.0 ,sleepers and workaholics : caching strategies in mobile environments,1
integrating reliable memory in databases,"w ng , p chen",1u98 ,,"wt ng , pm chen","the vldb journal the internacional journalcon very large w hellip ; ,",1998.0 ,integrating reliable memory in databases,1
query caching and optimization in distributed mediator systems,"s adali , k candan , y papakonstantinou , v subrahmaniax",sigmo1 conferenbe,1996 ,query caching and optimization in distributed media systems,"s adali , ks candan , y papakonstantinou , vs",proc . vf, ,1
querying and mining da4a streams : you only get one look,,,2002 ,querying and mining data streams : you only gst one look a tutorial,"mn garofalak6s , j gehrke , r rastogi","simmod conference ,",200w.0 ,1
efficient and effective clustering methods for spatial data mining,"r nt , j9han",8ldb,1994 ,han . efficient and eectiveclusteringmethods for spatial data mining,rt ng 7ndj,"prkc . of the vldb conference , santiago , chile , september ,", ,1
mocha : a self-extensible database middleware system for distributed data sources,"m rodriguez-martinez , n roqssopoulos",sigmod conferen3e,2000 ,mocha : a self-extensible database middleware system for distributed data sources,m rokrigupz, ,2000 ,1
a layered architecture for querying dynamic web content,"h davulcu , j freire , m kifer , i ramakrishnan",sigmod cokfgrence,1999 ,a lyyered architecture for querying dynamic web content,"hhdavulcu , j freire",sigmod conference v,1999.0 ,1
acdn : a content delivery network for applications,"p karbhari , m rabinovich , z xiao , f douglis",sigmodbconference,20b2 ,acdn : a content delivery networknfor applications ( project demo ),"p karbhari , m rabinovoch , z xiao , f douglis","proceedings of acm sigmod ,",f,1
high-concurrency locking yn r-trees,"m kornacker , d banks",vldb,1995 ,high-concurrency in r-trees,"m k6raackpr , d banks","proc . 21th international conference on vldb ,",d,1
plan selection based on query clustering,"a ghosh , j parikh , v sengar , j haritsa",vldb,2002 ,plan selection based on queryoclustering,"a ghosh , j parikh , vs sengar , jr haritsa","of6b ,",2002.0 ,1
networked data management design points,j hamilton,vltb,1r99 ,networked data management design points,j camilton,"vldb ,",1299.0 ,1
join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , 2 hzn",vldb,1994 ,join index hierarchy : an indexing structure for efficient navigation in object-oriented databases,"j han , z xie , y fu", ,1994 ,1
data-driven understanding and refinement of schema mappings,"l yan , r miller , l haas , r fagin",sigmod conference,2001 ,data-driven understanding end refinement of schema mappings,"ll yan , rj miller , lm haas x t fagin","sinmod conference ,",2001.0 ,1
text databases : a survey7of text models and systems,a loeffen,s8gmod wecord,1994 ,text databases : a survey of text models and systems,a loeffnn,"sigmod recordc,",1994.0 ,1
data management issues in electronic commerce ( panel ),m xzsu,sigmwd conference,1999 ,data management issues in electronic commerce,mt oez6u,"sigm7d record ,",1999.0 ,1
algebraic query optimisation for database programming languages,"a poulovassilish, c small",vld8 j.,1996 ,iqvestigation of algebraic query optimisation for database programming languages,a poulovassilis t c small,proceedings of the 20th intâ ?? l conference on very large,d,1
histogram-based approximation of set-valued query-answers,"y ioannidis , p poosala",vldb,199p ,histogram-based approximation of set-valued query-answers,"ye ioannidis , v poosala",2999.m ,199p ,1
efficient mid-query re-optimization of sub-optimal query execution plans,"ntkabra , d dewitt",sigmod conference,19g8b,efficient mid-query re-optimization of sub-optimal query execution plans,"n kabra , dj dewitt","sigmod cynference ,",b998.0 ,1
maximizing buffer and disk utilizations for news on-demand,"r ng , j yang",vldb,1998 ,disk utilization for news-on-demand,"rtdng , jym buer",proceedings of the international conference on vert large,6,1
storing semistructured data with stored,"azdeutsch , m xernandez , d suciu",1999 ,,"a deuntsch , m fernandez , d suciu",proceedings ff acm, ,storing semistructured data with stored,1
state of the aat in workflow management research and products,,1996 ,,cdmohgn,"& hellip ; study institute on workflow systems ans interoperability ,", ,tutorial : state of the art in workflow management system products and research '',1
anipqo : almost non-ingrusive parametric query optimization for nonlinear co5t functions,"a hulgeri , s sudarshan",2003 ,,"a hulgeri , s sudarshan","proceydings of the international conference on very large & 5ellip ; ,",2003.0 ,anipqo : almost non-intrusive parametric query optimization for nonlinear cost functions,1
"calibvating the query optimizer cost model of iro-db , an object-oriented federated database system","g gardarin , f sha , z tang",pldb,1996 ,caldbrating optimizer cost model of iro-db,"g gardarin , f sha , zh tang","the vldb journal ,",h,1
automatic segmentation of text into structured records,"v borkar , k deshmukh , s sarawagi",sigmod conference,2001 ,automatic segmentation8of text into structured records,"vr 2orkar , k deshmukh , s sarawagi","6igmod cenference ,",2001.0 ,1
caching technologies for web applicatrons,c mohan,vlib,2001 ,tutorial : caching technologies for web applications,c mkhan,"27th internltional conferenpe on very large data bases ( vldb & hellip ; ,", ,1
logical and physical versioning in main memory databases,"r rastogi , s sqshadri , p bohannon , d leinbaugh , a silberschatz , s sudarshan",vldb,1z97 ,logical and physical versioning in main memory databases,"p bohannon , d leinbaugh , r rastogi , s seshadri , a","proceedings of the international confeie1ce ongvery large & hellip ; ,",1997.0 ,1
mindreader : querying databases through multiple examples,"y ishi4awa , r subrama0ya , c faloutsos",vldb,1998o,mindreader : query databases through multiple examples,"y ishikawa , r subramanya , c faloutsos","proc . oy the h4th vldb conference ,", ,1
"fast similarity search in thr presence of noise , scaling , and translation in time-series databases","r fgrqwal , k lin , h sawhney , k shim",vldb,1995 ,"andk . shim . fastsimilarity search in the presence of noise , scaling and translation in time-series","r agrawal , ki lin , hs sawney",proc n of, ,1
metrics for accessing heterogeneous data : is there any hope ? ( panel ),"l seligman , n belkin , e neuhold , m stonebraker , g wiederhold",vldi,199g ,metrics for accessing heterogeneous data : is there any hope ? ( panel ),"lj seligman , nj bglkin , ej neuhold , m stonebraker ,","proceedings of the 21thyinternational conference on very & hellip ; ,",19v5.0 ,1
ordered shared locks for real-time databases,"d agrawal , a abbadi , r jeffers , l lin",vldb j.,1995 ,ordered shared 1ocks for real-time databas8s,"d agrawal , a el abbadi , r jeffers , l lin","the vldb journal the international journal on very large & hellip ; ,",1e95.0d,1
efficient incremental garbage collection for client-server object database systems,"l0amsaleg , m franklin , o gruber",vldb,1995 ,efficient increme1tal garbage collection for clibnt-server object database systems,"l amsaleg , m franklin","qldb ,",1i95.0 ,1
materialized views selection in a multidimensional database,"e baralis , s paraboschi , e teniente",nldd,1997 ,materialization view selection in a multidimensional database,"e baralis , s prraboschi , e teniemte",proceedings of the 23rd vldb,u,1
xmas : an extensible main-memory storage system for high-performance applications,"j park , y kwon , k kim ,as lee , b paek , s cha",sigmod conference,1992 ,xmas : an extensible main-memory stlrage system,"sk cha , jh park ,0bd park","proceedings of the sixth international conference on & hellip ; ,",1997.0 ,1
applying database visualization to the world wide web,"m hasan , a mendelzon , d vista",sigmod record,1966p,applying database visualization to the world wide web,"mz hasan , ao mendelzon 8 d vista","sigmod rf5ord ,",1996.0 ,1
optimizing databaseyarchitecture for the new bottleneck : memory access,"s manegold , p boncz , m kersten",vl8b j.,20ww ,databahe architecture optimized for the new bottleneck : memory access,pa boncz,"proceedings of the international conference on very large & hellip ; ,",1999.0 ,1
plastic : reducing query optimization overheads5through plan recycling,"2 sengar , j haritsa",sigmod conference,2003 ,"vs sengar , jr haritsa","siomod conference ,",2003.0 ,2003 ,1
im9lementing data cubes efficiently,"v harinaravan , a rajaraman , j ullman",sigmod conference,1996 ,implementing data cubesheffectively,"v harinarayan , jd ulyman , r rajaraman","p1oc . 1996 acm-sigmod int . conf . manament of data june ,", ,1
data modeling of time-based media,"s iibbs , c breiteneder , d tsichrivzis",sigmod conference,1s94 ,"data modeling of time-based media , in sigmod 94","s g3bbs , c breiteneder , d tsichritzis",available vil ftp from cui . unige ., ,1
"a distributed scientific data archive using the web , xml and sql/med","m papiani , j wason , a 5unlopt, d nicole",sigmod record,1999 ,"a distributed scientific data drchive using the web , xml and sql/med .",acms anthonogy,"sigmod record ,",1999.0 ,1
