,Truth,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title
223,1.0,findex,349.0 ,apple remote desktop 3 unlim managed systems,,34.9 ,encore software 10598 registry mechanic win 98 me 2000 xp
224,1.0,m-and-r-technologies,49.99 ,corel ventura 10 dvd,adobe systems inc,22.9 ,civilization iv mac os x aspyr
225,1.0,broderbund, ,adventure workshop preschool ( jewel case ),,185.99 ,punch software 86100 prof home design platinum v10 sb win 98 me nt 2000 xp
226,1.0,adobe,299.0 ,math success deluxe 2008,,29.99 ,onone software inc. gfs-50211 genuine fractals 5 full 1u
227,1.0,global-software-publ-na,89.99 ,virusbarrier x4 10.4 for mac-10 users,sony-online-entertainment,199.0 ,mcafee inc total protection 2007 3-user
228,1.0,omni group,99.95 ,phonics success essentials : grades 7-9,,471.99 ,zend studio 5.1 php integrated development environment
229,1.0,microsoft software,19.99 ,professor fuji 's sudoku ( jewel case ),,69.99 ,groove media inc close quarters conflict
230,1.0,sony-pictures-digital-entertainment,29.99 ,microsoft office & windows training professional,,17.55 ,punch software 17100 punch ! super home suite
231,1.0,synet-electronics-inc .,9.99 ,master server-upg,,9.99 ,encore inc 3d home architect home design deluxe version 9
232,1.0,encore software,499.0 ,microspot macdraft professional ( mac ),,26.14 ,mariner macjournal 4 journal blog podcast software
233,1.0,microsoft, ,weekly reader mastering high school 2008,,349.99 ,global software a1055 i love the usa
234,1.0,school zone,50.88 ,adobe photoshop cs3 extended [ mac ],,118.99 ,microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790
235,1.0,abacus software,59.95 ,final cut express 2.0 upgrade,red-orb-entertainment,499.99 ,encore software 10990 pc tools spyware doctor 2007 win 98 me 2000 xp
236,1.0,microspot ltd.,199.0 ,anti-spyware 3.0 win normal 1u new,,149.99 ,roxio toast 8 titanium cdr software
237,1.0,topics entertainment,19.99 ,the print shop 22 sb cs by the print shop,,26.14 ,simply magazine sales skills
238,1.0,stompsoft inc.,31.95 ,quicken 2007 deluxe,,79.99 ,upg crystal reports 11 pro french
239,1.0,adobe,79.99 ,crystal reports 11 reporting essentials trng cbt,,10.99 ,mastercook deluxe low carb edition
240,1.0,encore,999.99 ,scratches : directors cut,,7.93 ,encore software 10599 encore registry mechanic v. 5.1 complete product utility 1 user ( s ) complete product standard pc
241,1.0,corel,46.52 ,sony sound effects series vol 1 through 10,,598.95 ,warner home video games hospital tycoon
242,1.0,punch ! software,299.0 ,instant immersion french deluxe 2.0,,38.99 ,topics presents : museums of world
243,1.0,crystalgraphics, ,black & white platinum pack ( mac ),,9.45 ,palo alto software bpdx palo alto business plan 2007 pro premier edition complete product business planning 1 user complete product standard pc
244,1.0,symantec,699.0 ,3 great games for guys,,36.9 ,apple software t9164ll/a logic express 6
245,1.0,adobe,29.99 ,usa/world extreme landscapes bundle,,23.59 ,simply put software llc mozy 3.0
246,1.0,individual software,205.73 ,zend studio 5.1 ( win/mac ),,49.21 ,american sign language
247,1.0,abacus,199.0 ,adobe creative suite cs3 design standard [ mac ],,64.99 ,strategy first inc. great invasions
248,1.0,adobe,49.99 ,boomerang webpage designer gold,,23.99 ,encore 10023 hoyle mahjongg for pc
249,1.0,adobe-education-box,49.99 ,adobe premiere pro cs3,,19.99 ,smart steps 4th grade ( jc )
250,1.0,encore software,888.75 ,genuine fractals print pro 4.1 sharpener pro 2.0,,16.93 ,symantec norton anti-virus 2007 windows
251,1.0,business objects,109.95 ,humorous greeting card factory,,1299.99 ,aspyr media inc sims 2 nightlife
252,1.0,gen-x, ,apple remote desktop 3 10 managed systems,,157.36 ,cakewalk project5 version 2 software music production software
253,1.0,phase one, ,corel dvd moviefactory 6.0 plus,adobe-education-box,18.97 ,corel ulead videostudio 11 plus video editing and dvd authoring software win authoring software
254,1.0,sony-media-software,1199.0 ,mavis beacon typing 17 ( win/mac ),synet-electronics-inc .,19.55 ,adobe soundbooth cs3 audio editing software mac music production software
255,1.0,symantec,29.99 ,game of life jc,,89.69 ,emedia music corp emedia piano & keyboard method
256,1.0,csdc,19.99 ,registry mechanic 5.x pc system repair,,41.99 ,nova development ghw humorous greeting card factory
257,1.0,topics entertainment,49.95 ,art explosion 600 000 images,,85.95 ,symantec norton internet security 3.0 software for macintosh apple & mac software
258,1.0,delorme,109.95 ,microsoft windows xp professional full version with sp2,,181.97 ,adobe premiere elements 3 ( pc )
259,1.0,nova development,34.95 ,photoshop elements 4 mac retail eng 1u ( 19230169 ),,405.99 ,digital video & audio prod book
260,1.0,nova development,19.95 ,alliance future combat,,26.97 ,vegas + dvd sony
261,1.0,adobe-education-box,19.95 ,nero 7 ultra edition enhanced pc & home entrmnt soln,,43.3 ,simply put software llc mozy 3.0
262,1.0,global-marketing-partners,19.99 ,oxford spanish dictionary,,98.95 ,phonics success deluxe 2006
263,1.0,total training, ,calculation skills v1 add & sub basic core learning,,53.99 ,encore software 10038 encore the print shop v. 21.0 deluxe print management pc
264,1.0,masque,19.99 ,instant immersion japanese deluxe 2.0,,7.93 ,t-shirt factory deluxe 3.0
265,1.0,masque publishing,29.99 ,hidden expedition : titanic,,1298.95 ,global marketing partners easy video editor 2.0 honest technology
266,1.0,individual software,19.99 ,quickverse mac bible study 2007 gold box,,19.99 ,apple software m9372z/a final cut express 2.0 upgrade
267,1.0,egames,129.99 ,gods & heroes : rome rising,,9.95 ,nova development corp business card factory deluxe 3.0
268,1.0,sibelius-software-ltd .,49.99 ,mia 's math adventure : just in time,,798.95 ,encore software 10478 encore printmaster v. 17.0 gold complete product creativity application 1 user ( s ) complete product standard pc
269,1.0,adobe-education-box,7.99 ,hoyle texas hold 'em poker ( jewel case ),,57.54 ,sonicwall gms 1000 upgrade
270,1.0,simply-put-software,449.99 ,audio success series : winning strategies,,36.11 ,kutoka interactive 61208 mias math adventure ( just in time ) ( win 95 98 me 2000 xp/mac 8.6-9.x ( classic ) x v10 .1 or higher )
271,1.0,equilibrium,19.95 ,lego star wars ( dvd ) ( mac ),,148.97 ,mobi-cam 70008 monitoring and notification software
272,1.0,hewlett-packard - ( consumables ),19.99 ,apple iwork '06 family pack ( mac dvd ) [ older version ],,43.36 ,encore software 10598 registry mechanic win 98 me 2000 xp
273,1.0,nc soft,39.99 ,microsoft mappoint 2006 with gps,,45.99 ,global software a7163jcw kakuro puzzle addict unlimited edition dvd movie
274,1.0,bling, ,adobe photoshop elements 5.0 premiere elements 3.0 bundle,,725.99 ,elementary school success deluxe 2006
275,1.0,blizzard entertainment,29.99 ,adobe creative suite cs3 production premium upgrade,,28.3 ,adobe illustrator cs3 for mac academic
276,1.0,topics entertainment,1299.0 ,onone essentials for adobe photoshop elements,,54.95 ,sp linux we 50 lic/cd 3.0 c
277,1.0,punch ! software,59.99 ,pc tools spyware doctor 2007 sb cs by pc tools,,39.99 ,hp t1936aa uao digital sending software 4.0 ( 10 device license )
278,1.0,global-software-publishing,199.99 ,sonic mega collection plus,,27.37 ,punch software 42100 punch ! home design architectural series 18 ( small box )
279,1.0,warner-new-media,69.95 ,microsoft office & windows training professional,global-software-publ-na,15.9 ,pc-cillin internet security 2007 3-user ( win me 2000 xp )
280,1.0,nova development,149.99 ,podmaxx '07,,59.97 ,east west bosendorfer 290
281,1.0,aladdin systems,69.95 ,modeless liquid ledger personal finance software ( mac ),sibelius-software-ltd .,89.69 ,instant immers french dlx 2
282,1.0,avanquest-publishing-usa-inc .,79.21 ,adobe creative suite cs3 web standard [ mac ],punch software,188.97 ,apple remote desktop 3 desktop management software 10-client edition apple & mac software
283,1.0,adobe-education-box,79.0 ,hasbro classic collection 2006 ),,80.97 ,encore software 11750 game of life win 95 98
284,1.0,software cinema,19.95 ,apple final cut studio 2 ( mac ),global software,10.99 ,microsoft windows xp pro sp2 retail
285,1.0,absolute software,399.95 ,punch ! master landscape & home design,,149.99 ,macplay mah jong quest
286,1.0,punch ! software,49.99 ,evergirl,,59.33 ,star wars empire at war ( mac intel )
287,1.0,hewlett-packard - ( consumables ),79.0 ,mavis beacon teaches typing deluxe v17,,33.97 ,home bartending 101 shooters
288,1.0,power production,9.99 ,kakuro puzzle addict unlimited edition,,299.0 ,micromat podlock ipod utility software
289,1.0,sibelius-software-ltd .,99.0 ,hp storageworks secure path for windows workgroup edition v. 4.0 c license 213076-b26 ),,19.99 ,mastercook deluxe low carb edition
290,1.0,avid technology,399.95 ,kaspersky anti-virus 6.0,sony creative software,19.99 ,apple ilife '06 family pack
291,1.0,microsoft,9.95 ,land before time : kindergarten,,149.0 ,sony vegas movie studio + dvd v8 platinum edition video editing software professional editing software
292,1.0,global marketing,69.59 ,true crime streets of la ( mac ),,89.69 ,readiris pro 11 corporate edition for pc
293,1.0,hewlett packard, ,professor fuji 's sudoku ( jewel case ),,399.99 ,encore software 10478 encore printmaster v. 17.0 gold complete product creativity application 1 user ( s ) complete product standard pc
294,1.0,csdc,59.99 ,omnioutliner professional 3.0,,39.69 ,freeverse burning monkey solitaire 3d
295,1.0,trend micro,299.0 ,phase one capture one pro win/mac,,9.08 ,intuit quicken premier 2007 software for windows tax & finance software
296,1.0,sage software,29.95 ,adobe premiere pro cs3,,99.99 ,csdc liquid ledger personal finance modeless software
297,1.0,neso usa, ,instant immersion japanese deluxe 2.0,adobe-education-box,30.17 ,ca antivirus 2007
298,1.0,corel corp,350.0 ,40 years of the avengers,,19.38 ,grisoft avg anti-virus & anti-spyware
299,1.0,topics entertainment,199.0 ,3d home architect home v. 8 by encore software,dorling-kindersley-multimedia - ( dk ),79.99 ,encore software 10990 pc tools spyware doctor 2007 win 98 me 2000 xp
300,1.0,sos-aggregation-company, ,hallmark blank greeting cards half-fold matte premium 20 count,,294.99 ,microspot macdraft pe personal edition
301,1.0,blizzard entertainment,19.95 ,3d home architect landscape v. 8 by encore software,global-marketing-partners,142.29 ,sibelius sibelius 5 software music production software
302,1.0,netmanage,109.95 ,iriscard pro business card scanner,,1309.31 ,reel deal casino championship edition ( win 98 me nt 2000 xp )
303,1.0,novastor corporation, ,computrace lojack for laptops 4 year subscription,,24.99 ,civilization iv warlords expansion for mac
304,1.0,dreamcatcher interactive,19.99 ,math success deluxe 2008,,24.81 ,delorme mapping topo usa 6.0 east region
305,1.0,h & r block,495.0 ,punch ! 5 in 1 home design,,37.97 ,laughingbird the logo creator
306,1.0,phantom efx,19.99 ,vegas movie studiodvd +8 plat,,31.06 ,bobby walters academy award winners
307,1.0,brighter-minds-media-inc .,999.99 ,instant immersion japanese deluxe 2.0,,370.97 ,punch software 25100 punch ! master landscape & home design architectural 1 user ( s ) pc
308,1.0,kaspersky lab,29.95 ,ulead videostudio 11 plus,sibelius-software-ltd .,83.97 ,sibelius compass music composition teaching software music production software
309,1.0,micromat,329.95 ,microsoft office small business 2007 full version,,24.9 ,steinberg sequel music software music production software
310,1.0,aspyr media,69.95 ,aircraft power pack for ms flight simulator,,294.99 ,mariner macjournal 4 journal blog podcast software
311,1.0,abacus, ,grisoft avg anti-virus & anti-spyware 2 year subscription,,8.79 ,emedia music corp emedia piano & keyboard method
312,1.0,encore software,59.95 ,webroot desktop firewall,,26.99 ,dr. seuss reading learning system 2008 encore
313,1.0,microsoft,49.95 ,hoyle solitaire ( jewel case ),,8.79 ,csdc namo webeditor suite 2006
314,1.0,palo-alto-software,89.99 ,punch ! super home suite,,9.99 ,perfect attorney premium ( pc ) cosmi
315,1.0,absolute software, ,cakewalk project5 version 2,,22.99 ,sos aggregation company panda antivirus 2007
316,1.0,apple computer,49.99 ,finale 2007 academic ( win/mac ),,725.99 ,apple remote desktop 3 ( 10 managed systems )
317,1.0,computer associates,49.99 ,zonealarm pro firewall,,26.14 ,fogware publishing weekly reader ls mastering elementary & middle school math
318,1.0,nova development,39.99 ,crystal reports xi professional edition,,1420.79 ,adobe photoshop cs3 extended for mac upgrade
319,1.0,punch ! software,29.0 ,snap ! 8 player poker 5 pack,,119.99 ,vivendi-universal games inc 72305 world of warcraft 60 day prepaid
320,1.0,boomerang,19.99 ,professor teaches excel & word,,239.95 ,microsoft w87-02380 office sbe 2007 win32
321,1.0,adobe,69.95 ,final cut express 2.0 upgrade,autodesk,316.75 ,iris inc irispen express translator
322,1.0,sage software,349.83 ,art explosion t-shirt factory deluxe 3.0,,264.99 ,final-draft final draft 7.0 with syd fields workshop bundle screen writing software
323,1.0,knowledge adventure,649.0 ,close quarters conflict,,899.99 ,modeless software liquid ledger personal finance
324,1.0,tri synergy,155.22 ,hp dss software v. 4.0 complete package t1936aa ua0 ),,9.9 ,adobe flash cs3 professional ( mac )
325,1.0,encore,24.95 ,who wants to be a millionaire ?,,17.97 ,allume spring cleaning 9.0
326,1.0,autodesk psg,59.99 ,geometry ( win/mac ) ( jewel case ),,39.95 ,enteractive inc fps creator
327,1.0,encore,39.99 ,lavasoft ad-aware plus edition,,33.21 ,sibelius compass music composition teaching software music production software
328,1.0,encore,59.95 ,spring cleaning 9.0 for mac os 10.4 & above,,249.99 ,macplay mah jong quest
329,1.0,global-marketing-partners, ,swift publisher for mac,,17.24 ,kaplan act/sat/psat gold 2007 mac os x
330,1.0,abacus,299.0 ,studyworks ! teaching pro : middle school math & science ( win/mac ),,42.27 ,topics entertainment topics entertainment play electric guitar deluxe windows
331,1.0,tri synergy,479.78 ,clickart 1.2 million 2006 dvd,,111.78 ,adobe photoshop cs3 for mac upgrade
332,1.0,adobe,49.99 ,sibelius 5 professional edition,,16.93 ,microspot interiors ( mac 10.2 or later )
333,1.0,sony-pictures-digital-entertainment,4215.77 ,microsoft licenses sps extrnlconnnonemplyenglands c ( h3200034 ),,139.51 ,encore software 12390 math advantage 2008 win 2000 xp vista
334,1.0,encore,99.99 ,logic express 6,,34.9 ,git 44 years of marvel fantastic 4 dvd-rom
335,1.0,brighter-minds-media-inc .,1699.0 ,ae painter v9 win/mac box,,18.97 ,apple iwork '06
336,1.0,emedia,149.99 ,iaudioize magnetic time for pc and mac,,12.9 ,panda software panda internet security 2007
337,1.0,webroot software, ,amazing spider-man complete comic book collection win/mac,,19.38 ,global marketing partners easy video editor 2.0 honest technology
338,1.0,encore,129.99 ,world of warcraft expansion : burning crusade,,178.49 ,sibelius compass music composition teaching software music production software
339,1.0,masque publishing,19.95 ,project x project management software,,43.3 ,encore software 10669 hoyle backgammon win 98 me 2000 xp
340,1.0,encore software,19.99 ,master server-upg,,2335.47 ,lavasoft ad-aware plus edition
341,1.0,punch ! software,149.0 ,punch ! super home suite,,249.95 ,aspyr media inc sims 2 nightlife
342,1.0,abacus,29.95 ,punch ! master landscape & home design,,79.99 ,microsoft microsoft office 2004 software suite mac apple & mac software
343,1.0,sage software,34.95 ,land before time : kindergarten,,19.99 ,kutoka interactive 61208 mias math adventure ( just in time ) ( win 95 98 me 2000 xp/mac 8.6-9.x ( classic ) x v10 .1 or higher )
344,1.0,onone software,38.89 ,gods & heroes : rome rising,,34.95 ,merriam-webster 's dictionary ( win/mac ) ( jewel case ) ( 10462 )
345,1.0,dorling-kindersley-multimedia - ( dk ),399.95 ,roxio easy media creator 9,,24.91 ,microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790
346,1.0,riverdeep-learning-company,449.99 ,quickbooks simple start 2007,,199.0 ,nc interactive inc city of heroes : good vs. evil edition
347,1.0,sony-pictures-digital-entertainment,19.95 ,student home learning system for pc/mac,synet-electronics-inc .,49.95 ,individual software resume maker professional deluxe 12.0
348,1.0,destineer,29.99 ,apple mac os x tiger 10.4.6 family pack ( mac ),,1698.95 ,encore inc family tree maker v 16 essentials
349,1.0,nuance-communications-inc .,39.95 ,magellan mapsend lakes ( usa south ),synet-electronics-inc .,26.99 ,adobe soundbooth cs3
350,1.0,corel,249.0 ,microsoft office small business 2007,punch software,8.64 ,topics entertainment math success deluxe 2008
351,1.0,adobe,49.99 ,stuffit deluxe 11,,59.97 ,git 40 years of marvel avengers dvd-rom
352,1.0,imsi,39.95 ,photoshop elements 4 edu mac 1u,,195.99 ,micromat techtool protege utility with 1gb firewire flash drive
353,1.0,sony media,349.0 ,upgrade delphi 2006 pro named fr delphi v3-2005 pro cd,,299.99 ,microsoft windows xp pro oem sp2 no open box returns
354,1.0,humongous entertainment,49.99 ,land before time : kindergarten,,99.95 ,webroot software inc 52310 spy sweeper with antivirus/child safe 1-pc win 2000 xp vista
355,1.0,aladdin systems,29.99 ,reel deal casino shuffle master edition,global-software-publishing,8.64 ,microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790
356,1.0,global-software-publishing,99.0 ,quickbooks simple start 2007,,31.06 ,netopia timbuktu pro for mac and windows 2 pack
357,1.0,namo,49.99 ,adobe photoshop elements 5.0 / premier elements 3.0 [ lb ],,99.95 ,onone software inc. gpp-55211 genuine fractals print pro 5 1u
358,1.0,microsoft licenses,39.99 ,steinberg cubase studio 4,,25.97 ,omni web 5.0
359,1.0,avid technology,49.95 ,ulead systems dvd workshop 2,,25.21 ,apple logic express 7.2
360,1.0,autodesk psg,19.95 ,the print shop 22 sb cs by the print shop,,7.93 ,readiris pro 11 corporate edition for pc
361,1.0,netmanage,12.99 ,world of warcraft 60 day pre-paid time card,,9.9 ,apple logic express 7.2
362,1.0,emedia,24.99 ,logic express 7,,24.89 ,phase one capture one pro
363,1.0,phantom efx,99.99 ,adobe premiere pro cs3 upgrade,,25.2 ,symantec norton anti-virus 2007 windows
364,1.0,destineer, ,boomerang webpage designer gold,,9.08 ,microsoft ho2-00003 data analyzer 2002 complete package 1 user
365,1.0,topics entertainment,24.99 ,power on now up to date & contact windows,,299.0 ,adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro )
366,1.0,sos aggregation,99.95 ,discrete drums : vol .1,,71.01 ,the land before time : kindergarten adventure
367,1.0,dorling-kindersley-multimedia - ( dk ),79.0 ,microsoft mappoint 2006 with gps,,39.99 ,webroot software 54210 desktop firewall
368,1.0,cosmi corporation,29.95 ,apple final cut studio 2 ( mac ),,228.95 ,cakewalk sonar home studio 6 xl software music production software
369,1.0,dreamcatcher interactive,99.99 ,logic express 6,,9.95 ,adobe captivate 2 software for windows presentation software
370,1.0,3m,49.99 ,smart steps 4th grade,,26.14 ,micromat podlock ipod utility software
371,1.0,aspyr media,29.99 ,wheel of fortune deluxe,,1639.99 ,abacus ultra sudoku/ultra kakuro
372,1.0,encore software,494.99 ,dvo cook 'n deluxe 6.0 ultimate recipe organizer,,9.45 ,egames . inc casual games pack
373,1.0,borland international,19.99 ,perfect attorney premium,,139.51 ,master server-upg
374,1.0,me-too-software,49.99 ,english literature basics ( win/mac ) ( jewel case ),,31.06 ,graphicsim istopmotion
375,1.0,riverdeep,129.99 ,micromat techtool pro 4 ( mac ),,1749.99 ,adobe premiere pro cs3 video editing software for windows professional editing software
376,1.0,summit software,179.0 ,micromat podlock ( mac ),simply-put-software-llc,80.97 ,encore software 2137421 printshop business card maker ( win 98 me 2000 xp )
377,1.0,delorme,1699.0 ,adobe illustrator cs3 [ mac ],aspyr media,400.34 ,quicken 2007 deluxe win cd
378,1.0,micromat,329.0 ,spring cleaning 9.0 for mac os 10.4 & above,,9.95 ,adobe illustrator cs3 for mac academic
379,1.0,webroot software,89.95 ,microsoft visual studio professional 2005 upgrade,,25.2 ,microsoft microsoft office 2004 software suite mac apple & mac software
380,1.0,palo-alto-software,19.99 ,x-oom movie clone 3 gold,,94.99 ,findex.com inc quickverse bible study 2007 bible suite
381,1.0,magellan,1199.0 ,microsoft office small business 2007,,19.95 ,millies math house
382,1.0,simply-put-software,19.95 ,sonic mega collection plus,,7.36 ,encore software 11670 who wants to be a millionaire ? win xp 2000
383,1.0,m-and-r-technologies, ,civilization iv warlords ( mac ),,9.59 ,sage ( ptree ) premium accounting for manufacturing 2007 multi-user
384,1.0,encore software,1499.95 ,hospital tycoon for pc,,27.9 ,corel painter x
385,1.0,encore,14.99 ,computrace lojack for laptops 3 year license ( mac ),,111.78 ,aspyr media 10900 star wars battlefront mac
386,1.0,dvo enterprises, ,microsoft word 2007 version upgrade,,69.99 ,sp linux we 50 lic/cd 3.0 c
387,1.0,topics entertainment,19.99 ,hospital tycoon for pc,,23.59 ,iris inc readiris pro 11 corporate edition
388,1.0,sony-creative-software,89.99 ,adobe photoshop elements 5.0 premiere elements 3.0 bundle,me-too-software,17.97 ,steinberg software cubase se 3.0 educational edition
389,1.0,sage software, ,adventure workshop 4th-6th grade 7th ed sb cs by riverdeep,,17.55 ,absolute software lfl-n2-48 computrace lojack for laptops 4 year license
390,1.0,encore software,9.99 ,photoshop elements 4 edu mac 1u,,299.95 ,cross stitch design studio ( jewel case ) ( 8006 )
391,1.0,palo-alto-software,9.95 ,national geographic presents : redshift 5 planetarium software,global-software-publishing,320.25 ,mcafee inc total protection 2007 3-user
392,1.0,motu,299.0 ,middle school success essentials,,319.95 ,encore software 10118 adventure workshop 4th-6th grade 7th ed sb cs by riverdeep
393,1.0,oxford-university-press,99.95 ,40 years of the avengers,,55.99 ,diskeeper 2007 professional
394,1.0,encore software,199.95 ,apple final cut express hd 3.5 ( mac ),,724.99 ,apple remote desktop 3 ( 10 managed systems )
395,1.0,eurotalk, ,i love the usa,emedia,23.09 ,geometry ( win/mac ) ( jewel case ) ( 10158 )
396,1.0,enteractive inc. .,79.21 ,jumpstart advanced 3rd grade v2 .0,nuance-communications-inc .,125.99 ,family tree maker 11 collector 's edition
397,1.0,punch ! software, ,backpack journalist,,45.99 ,allume spring cleaning 9.0
398,1.0,global-software-publ-na,109.95 ,adobe soundbooth cs3 [ mac ],,147.73 ,simply put software llc mozy 3.0
399,1.0,oxford-university-press,299.0 ,swift publisher for mac,,50.97 ,roxio popcorn 2 video conversion software
400,1.0,symantec,699.0 ,dreamweaver cs3 9 mac ed 1u,,179.0 ,stationery design studio ( win 98 me 2000 xp )
401,1.0,punch ! software,47.95 ,discrete drums : vol .1,,30.17 ,encore software 10567 hoyle puzzle games 2007 win 98 me 2000 xp
402,1.0,adobe,99.99 ,ca antivirus 2007,,34.07 ,micromat podlock ipod utility software
403,1.0,axis-communication-inc .,29.95 ,my guitar,,13.95 ,adobe cs3 web standard upsell
404,1.0,git corp,129.95 ,cross stitch design studio ( jewel case ),,335.99 ,encore software 10478 encore printmaster v. 17.0 gold complete product creativity application 1 user ( s ) complete product standard pc
405,1.0,topics entertainment,349.0 ,microspot macdraft professional ( mac ),,55.99 ,palo alto software mpd9 palo alto marketing plan v. 9.0 pro complete product business planning 1 user complete product standard pc
406,1.0,autodesk psg,39.99 ,world of warcraft expansion : burning crusade,,25.97 ,adobe soundbooth cs3 audio editing software mac music production software
407,1.0,intuit,19.99 ,aircraft power pack for ms flight simulator,,459.99 ,adobe cs3 design standard
408,1.0,fogware publishing,129.99 ,ulead systems dvd workshop 2,,16.93 ,cyberlink power director 3
409,1.0,brighter-minds-media-inc ., ,ilisten with headset microphone 1.7,sierrahome,1888.39 ,i copydvds 2 professional edition
410,1.0,apple computer,19.95 ,backyard sports backyard basketball and backyard football,,495.0 ,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 )
411,1.0,sony-pictures-digital-entertainment,39.99 ,quickverse sermon builder 4.0,,10.99 ,zonealarm internet security suite 2007 ( pc ) zonelabs
412,1.0,intuit,600.0 ,iaudioize magnetic time for pc and mac,,69.99 ,sony media software acid pro 6 software upgrade from acid pro 5 music production software
413,1.0,aladdin systems,99.99 ,apple remote desktop 2.2 10 client ( old version ),avanquest-publishing-usa-inc .,25.49 ,punch software 83100 punch ! home design architectural series 3000 v 10 ( win 98 me nt 2000 xp )
414,1.0,microsoft,1299.0 ,encore the big box of art 410 000 460001 ),,79.99 ,knowledge adventure 20033 jumpstart reading with karaoke
415,1.0,topics entertainment,49.95 ,talk now ! learn afrikaans beginning level,,19.19 ,webroot software inc 54210 webroot desktop firewall firewall pc
416,1.0,encore,129.99 ,reel deal casino shuffle master edition,nuance-communications-inc .,109.99 ,apple ilife '06 family pack software av production software
417,1.0,smith-micro-software-inc .,9.99 ,learn2 training for microsoft excel,,15.9 ,adobe soundbooth cs3
418,1.0,encore software,269.99 ,avid liquid vs 7 software,,26.99 ,3d home architect home v. 8by encore software
419,1.0,nc soft,19.99 ,rainbow fish and the whale ( win/mac ),,79.99 ,intuit quickbooks premier professional services edition 2007 software win tax & finance software
420,1.0,sony-online-entertainment,999.0 ,encore the big box of art 410 000 460001 ),,25.49 ,topics entertainment phonics success essentials
421,1.0,thq,699.0 ,calendar creator platinum sb cs by riverdeep,,1298.95 ,star wars empire at war ( mac intel )
422,1.0,microsoft,49.99 ,instant play electric guitar deluxe,,17.55 ,adobe cs3 web standard
423,1.0,efrontier, ,norton internet security mac 3.0 [ antivirus firewall privacy controls iclean ],,9.99 ,stationery design studio ( win 98 me 2000 xp )
424,1.0,encore software,9.99 ,sibelius 4 professional edition,,49.21 ,palo alto software mpd9 palo alto marketing plan v. 9.0 pro complete product business planning 1 user complete product standard pc
425,1.0,onone software,59.95 ,english literature basics ( win/mac ) ( jewel case ),smith-micro-software,27.99 ,fogware publishing middle school life science classification & ecology
426,1.0,sos-aggregation-company,19.99 ,scratches : directors cut,arc-media-inc .,79.99 ,now software nuw45e1k now up-to-date & contact for windows
427,1.0,microsoft,179.0 ,snap ! 8 player poker 5 pack,,94.94 ,belight business card composer
428,1.0,punch ! software,19.99 ,my maillist & addressbook,,29.99 ,apple software m9372z/a final cut express 2.0 upgrade
429,1.0,smith-micro-software,166.19 ,vegas movie studiodvd +8 plat,simply-put-software-llc,27.97 ,individual software resume maker professional deluxe 12.0
430,1.0,encore,299.99 ,totally spies : total swamp romp ( pc & mac ),,189.99 ,apple mac os x v10 .4 tiger software family pack apple & mac software
431,1.0,adobe, ,the print shop elements : labels & logos sb cs by the print shop,,6.84 ,absolute software lfl-m2-36 computrace lojack for laptops 3 year license mac 10.2 or higher
432,1.0,business objects,24.99 ,microsoft mappoint 2006 with gps,,45.97 ,global software a1055 i love the usa
433,1.0,iris,39.99 ,treasure mathstorm,,92.51 ,allume stuffit deluxe 10.0 os x 10.4 or higher
434,1.0,intuit,7.99 ,stompsoft digital file shredder pro,,320.25 ,microsoft microsoft office 2004 software suite mac education apple & mac software
435,1.0,viva media, ,final cut express 2.0 upgrade,,99.99 ,nova development ghw humorous greeting card factory
436,1.0,corel,29.06 ,kids power fun for kids,,19.99 ,onone software essentials for adobe photoshop elements version 2 full
437,1.0,smith-micro-software-inc .,199.0 ,the print shop elements : labels & logos sb cs by the print shop,,11.95 ,punch software 35100 punch ! professional home design suite ( small box )
438,1.0,adobe-education-box, ,midway arcade treasures ( jewel case ),,1888.39 ,netopia timbuktu pro for mac and windows 2 pack
439,1.0,dorling-kindersley-multimedia - ( dk ),630.36 ,mastercook deluxe low carb,sibelius-software-ltd .,22.9 ,corel intervideo dvd copy 5 platinum software for windows authoring software
440,1.0,imaginova,499.99 ,simply put software got ta sing windows/macintosh ),sibelius-software-ltd .,8.79 ,microsoft excel 2007 ( pc )
441,1.0,microsoft software,19.95 ,humorous greeting card factory,oxford-university-press,19.07 ,apple ilife '06 family pack software av production software
442,1.0,microsoft,145.39 ,rainbow fish and the whale ( win/mac ),sony creative software,7.36 ,punch software 24100 punch ! 5 in 1 home design complete product architectural 1 user complete productcomplete productstandard pc
443,1.0,individual software,699.0 ,acad corel painter x pc/mac,punch software,155.99 ,csdc route 66 route canada ( french )
444,1.0,axis-communication-inc .,29.99 ,sony acid pro 6 professional music workstation,,13.95 ,smart steps 4th grade ( jc )
445,1.0,abacus,209.0 ,master server-upg,sibelius-software-ltd .,25.21 ,sos aggregation company airline tycoon deluxe topware interactive
446,1.0,crystalgraphics, ,oxford spanish dictionary,palo-alto-software,369.99 ,encore software 10691 the print shop 22 sb cs by the print shop
447,1.0,bling,9.99 ,photoshop elements 4 mac retail eng 1u ( 19230169 ),,24.99 ,palo alto software business plan pro 2007
